Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"9,521,081","10,164,367","12,593,196","12,173,907","8,920,934"
Cost of Revenue,"6,603,321","7,264,575","9,851,265","9,944,380","6,887,709"
Gross Profit,"2,917,760","2,899,792","2,741,931","2,229,527","2,033,225"
Operating Expense,"949,163","982,864","907,068","833,586","757,184"
Operating Income,"1,968,597","1,916,928","1,834,863","1,395,941","1,276,041"
Net Non Operating Interest Income Expense,"-516,969","-491,773","-469,620","-485,658","-469,651"
Other Income Expense,"-413,031","225,836","152,692","130,518","151,566"
Pretax Income,"1,038,597","1,650,991","1,517,935","1,040,801","957,956"
Tax Provision,"239,085","372,414","362,903","447,282","212,406"
Net Income Common Stockholders,"798,412","1,277,477","1,150,603","387,074","352,039"
Average Dilution Earnings,-,-,0,-,-
Diluted NI Available to Com Stockholders,"798,412","1,277,477","1,150,603","387,074","352,039"
Basic EPS,-,0.0031,0.0028,0.0013,0.0017
Diluted EPS,-,0.0031,0.0028,0.0013,0.0017
Basic Average Shares,-,"413,560","411,485","297,477","211,128"
Diluted Average Shares,-,"415,444","414,195","299,780","212,383"
Total Operating Income as Reported,"1,362,142","1,914,353","1,835,464","1,380,895","1,285,676"
Total Expenses,"7,552,484","8,247,439","10,758,333","10,777,966","7,644,893"
Interest Expense,"516,969","491,773","469,620","485,658","469,651"
Net Interest Income,"-516,969","-491,773","-469,620","-485,658","-469,651"
Net Income from Continuing & Discontinued Operation,"799,512","1,278,577","1,151,703","387,841","352,039"
Normalized Income,"1,243,226","1,230,376","1,145,187","399,366","346,429"
EBIT,"1,555,566","2,142,764","1,987,555","1,526,459","1,427,607"
EBITDA,"2,050,296",-,-,-,-
Reconciled Cost of Revenue,"6,603,321","7,264,575","9,851,265","9,944,380","6,887,709"
Reconciled Depreciation,"494,730","476,535","428,557","406,335","391,585"
Net Income from Continuing Operation Net Minority Interest,"799,512","1,278,577","1,151,703","387,841","354,090"
Total Unusual Items Excluding Goodwill,"-576,402","62,240","8,563","-19,209","9,844"
Total Unusual Items,"-576,402","62,240","8,563","-19,209","9,844"
Normalized EBITDA,"2,626,698","2,557,059","2,407,549","1,952,003","1,809,348"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-132,688","14,039","2,047","-7,684","2,183"
