Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"14,891,700","14,953,700","15,290,200","15,273,600","15,416,900"
Cost of Revenue,"12,160,100","12,194,000","12,437,300","12,481,800","12,671,200"
Gross Profit,"2,731,600","2,759,700","2,852,900","2,791,800","2,745,700"
Operating Expense,"618,000","637,400","719,400","732,100","736,800"
Operating Income,"2,113,600","2,122,300","2,133,500","2,059,700","2,008,900"
Net Non Operating Interest Income Expense,"-192,500","-192,700","-216,900","-174,800","-167,100"
Other Income Expense,-,"8,700","7,700",-,-
Pretax Income,"1,929,800","1,938,300","1,924,300","1,884,900","1,841,800"
Tax Provision,"499,100","504,400","492,700","696,200","600,500"
Earnings from Equity Interest Net of Tax,"-2,800","2,000","8,900","3,500","5,400"
Net Income Common Stockholders,"1,334,000","1,339,100","1,326,400","1,086,800","1,142,100"
Diluted NI Available to Com Stockholders,"1,334,000","1,339,100","1,326,400","1,086,800","1,142,100"
Basic EPS,-,0.0061,0.0058,0.0047,0.0048
Diluted EPS,-,0.0061,0.0058,0.0047,0.0048
Basic Average Shares,-,"219,800","226,600","232,300","237,900"
Diluted Average Shares,-,"220,900","227,600","233,900","239,200"
Total Operating Income as Reported,"2,113,600","2,122,300","2,133,500","2,059,700","2,008,900"
Rent Expense Supplemental,-,-,"1,309,600","1,232,100","1,218,000"
Total Expenses,"12,778,100","12,831,400","13,156,700","13,213,900","13,408,000"
Net Income from Continuing & Discontinued Operation,"1,334,000","1,339,100","1,326,400","1,088,400","1,148,600"
Normalized Income,"1,334,000","1,343,614","1,330,269","1,088,400","1,148,600"
Interest Income,"56,000","60,300","57,200","49,700","42,600"
Interest Expense,"243,800","248,300","268,500","224,500","209,700"
Net Interest Income,"-192,500","-192,700","-216,900","-174,800","-167,100"
EBIT,"2,173,600","2,186,600","2,192,800","2,109,400","2,051,500"
EBITDA,"2,402,500",-,-,-,-
Reconciled Cost of Revenue,"12,160,100","12,194,000","12,437,300","12,481,800","12,671,200"
Reconciled Depreciation,"228,900","231,500","264,000","282,100","292,900"
Net Income from Continuing Operation Net Minority Interest,"1,334,000","1,339,100","1,326,400","1,088,400","1,148,600"
Total Unusual Items Excluding Goodwill,-,"-6,100","-5,200",-,-
Total Unusual Items,-,"-6,100","-5,200",-,-
Normalized EBITDA,"2,402,500","2,424,200","2,462,000","2,391,500","2,344,400"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"-1,586","-1,331",0,0
