Breakdown,ttm,5/31/2019,5/31/2018,5/31/2017,5/31/2016
Total Revenue,"39,766,000","39,506,000","39,831,000","37,728,000","37,047,000"
Cost of Revenue,"8,032,000","7,995,000","8,081,000","7,469,000","7,479,000"
Gross Profit,"31,734,000","31,511,000","31,750,000","30,259,000","29,568,000"
Operating Expense,"17,481,000","17,489,000","17,431,000","16,983,000","16,464,000"
Operating Income,"14,253,000","14,022,000","14,319,000","13,276,000","13,104,000"
Net Non Operating Interest Income Expense,"-1,282,000","-990,000","-824,000","-996,000","-929,000"
Other Income Expense,"-738,000","-764,000","-604,000","-763,000","-733,000"
Pretax Income,"12,233,000","12,268,000","12,891,000","11,517,000","11,442,000"
Tax Provision,"1,474,000","1,185,000","9,066,000","2,182,000","2,541,000"
Net Income Common Stockholders,"10,759,000","11,083,000","3,825,000","9,335,000","8,901,000"
Diluted NI Available to Com Stockholders,"10,759,000","11,083,000","3,825,000","9,335,000","8,901,000"
Basic EPS,-,0.003,0,0.0023,0.0021
Diluted EPS,-,0.003,0,0.0022,0.0021
Basic Average Shares,-,"3,634,000","4,121,000","4,115,000","4,221,000"
Diluted Average Shares,-,"3,732,000","4,238,000","4,217,000","4,305,000"
Total Operating Income as Reported,"13,845,000","13,535,000","13,679,000","12,710,000","12,604,000"
Total Expenses,"25,513,000","25,484,000","25,512,000","24,452,000","23,943,000"
Net Income from Continuing & Discontinued Operation,"10,759,000","11,083,000","3,825,000","9,335,000","8,901,000"
Normalized Income,"11,267,355","11,622,994","4,346,220","9,917,298","9,375,580"
Interest Income,"659,000","1,092,000","1,201,000","802,000","538,000"
Interest Expense,"1,941,000","2,082,000","2,025,000","1,798,000","1,467,000"
Net Interest Income,"-1,282,000","-990,000","-824,000","-996,000","-929,000"
EBIT,"14,174,000","14,350,000","14,916,000","13,315,000","12,909,000"
EBITDA,"17,174,000",-,-,-,-
Reconciled Cost of Revenue,"6,677,000","6,765,000","6,916,000","6,469,000","6,608,000"
Reconciled Depreciation,"3,000,000","2,919,000","2,785,000","2,451,000","2,509,000"
Net Income from Continuing Operation Net Minority Interest,"10,759,000","11,083,000","3,825,000","9,335,000","8,901,000"
Total Unusual Items Excluding Goodwill,"-578,000","-598,000","-714,000","-718,000","-610,000"
Total Unusual Items,"-578,000","-598,000","-714,000","-718,000","-610,000"
Normalized EBITDA,"17,752,000","17,867,000","18,415,000","16,484,000","16,028,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-69,645","-58,006","-192,780","-135,702","-135,420"
