Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"10,215,864","10,149,985","9,536,428","8,977,726","8,593,096"
Cost of Revenue,"4,804,557","4,755,294","4,496,462","4,257,043","4,084,085"
Gross Profit,"5,411,307","5,394,691","5,039,966","4,720,683","4,509,011"
Operating Expense,"3,511,806","3,473,965","3,224,782","2,995,283","2,809,805"
Operating Income,"1,899,501","1,920,726","1,815,184","1,725,400","1,699,206"
Net Non Operating Interest Income Expense,"-142,404","-137,430","-119,608","-89,002","-66,707"
Other Income Expense,"-1,260","7,033","-1,489","1,406","4,692"
Pretax Income,"1,755,837","1,790,329","1,694,087","1,637,804","1,637,191"
Tax Provision,"385,509","399,287","369,600","504,000","599,500"
Net Income Common Stockholders,"1,370,328","1,391,042","1,324,487","1,133,804","1,037,691"
Diluted NI Available to Com Stockholders,"1,370,328","1,391,042","1,324,487","1,133,804","1,037,691"
Basic EPS,-,0.0181,0.0163,0.0128,0.0109
Diluted EPS,-,0.0179,0.0161,0.0127,0.0107
Basic Average Shares,-,"76,985","81,406","88,426","95,447"
Diluted Average Shares,-,"77,788","82,280","89,502","96,720"
Total Operating Income as Reported,"1,899,501","1,920,726","1,815,184","1,725,400","1,699,206"
Total Expenses,"8,316,363","8,229,259","7,721,244","7,252,326","6,893,890"
Net Income from Continuing & Discontinued Operation,"1,370,328","1,391,042","1,324,487","1,133,804","1,037,691"
Normalized Income,"1,370,328","1,391,042","1,324,487","1,133,804","1,037,691"
Interest Income,"2,666","2,545","2,521","2,347","4,224"
Interest Expense,"145,070","139,975","122,129","91,349","70,931"
Net Interest Income,"-142,404","-137,430","-119,608","-89,002","-66,707"
EBIT,"1,900,907","1,930,304","1,816,216","1,729,153","1,708,122"
EBITDA,"2,181,781",-,-,-,-
Reconciled Cost of Revenue,"4,804,557","4,755,294","4,496,462","4,257,043","4,084,085"
Reconciled Depreciation,"280,874","270,875","258,937","233,845","217,866"
Net Income from Continuing Operation Net Minority Interest,"1,370,328","1,391,042","1,324,487","1,133,804","1,037,691"
Normalized EBITDA,"2,181,781","2,201,179","2,075,153","1,962,998","1,925,988"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
