Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"22,799,000","20,393,000","17,824,000","12,508,000","10,090,000"
Cost of Revenue,"13,697,000","13,697,000","10,545,000","9,596,000","9,457,000"
Gross Profit,"6,696,000","6,696,000","7,279,000","2,912,000","633,000"
Operating Expense,"3,881,000","3,881,000","2,162,000","1,817,000","1,669,000"
Operating Income,"2,815,000","2,815,000","5,117,000","1,095,000","-1,036,000"
Net Non Operating Interest Income Expense,"-849,000","-849,000","-253,000","-246,000","-186,000"
Other Income Expense,"-1,780,000","-1,780,000","413,000","122,000","-623,000"
Pretax Income,"186,000","186,000","5,277,000","971,000","-1,845,000"
Tax Provision,"693,000","693,000","1,477,000","17,000","-662,000"
Earnings from Equity Interest Net of Tax,-,-,"331,000","357,000","181,000"
Net Income Common Stockholders,"-985,000","-985,000","4,114,000","1,311,000","-574,000"
Diluted NI Available to Com Stockholders,"-985,000","-985,000","4,114,000","1,311,000","-574,000"
Basic EPS,-,-,0.0054,0.0017,0
Diluted EPS,-,-,0.0054,0.0017,0
Basic Average Shares,-,-,"761,700","765,100","763,800"
Diluted Average Shares,-,-,"763,300","765,900","763,800"
Total Expenses,"17,578,000","17,578,000","12,707,000","11,413,000","11,126,000"
Interest Income,"217,000","217,000","136,000","99,000","106,000"
Interest Expense,"1,066,000","1,066,000","389,000","345,000","292,000"
Net Interest Income,"-849,000","-849,000","-253,000","-246,000","-186,000"
Net Income from Continuing & Discontinued Operation,"-667,000","-667,000","4,131,000","1,311,000","-574,000"
Normalized Income,"919,690","919,690","3,825,380","1,190,220","-628,200"
EBIT,"1,252,000","1,252,000","5,666,000","1,316,000","-1,553,000"
EBITDA,"5,805,000",-,-,-,-
Reconciled Cost of Revenue,"13,697,000","13,697,000","10,545,000","9,596,000","9,457,000"
Reconciled Depreciation,"5,981,000","5,981,000","3,977,000","4,002,000","4,268,000"
Net Income from Continuing Operation Net Minority Interest,"-652,000","-652,000","4,131,000","1,311,000","-1,002,000"
Total Unusual Items Excluding Goodwill,"-2,153,000","-2,153,000","413,000","122,000","-623,000"
Total Unusual Items,"-2,153,000","-2,153,000","413,000","122,000","-623,000"
Normalized EBITDA,"10,142,000","9,386,000","9,230,000","5,196,000","3,338,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-581,310","-581,310","107,380","1,220","-249,200"
