Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"1,491,591","1,491,591","1,327,838","1,215,768","1,103,172"
Cost of Revenue,"88,585","88,585","66,326","69,480","62,865"
Gross Profit,"1,403,006","1,403,006","1,261,512","1,146,288","1,040,307"
Operating Expense,"660,444","660,444","623,928","557,234","501,909"
Operating Income,"742,562","742,562","637,584","589,054","538,398"
Net Non Operating Interest Income Expense,"-288,239","-288,239","-268,753","-248,406","-221,613"
Other Income Expense,"9,359","-10,687","1,107","-15,286","2,954"
Pretax Income,"480,867","443,636","369,938","325,362","319,739"
Tax Provision,"6,158","6,158","5,340","6,044","3,262"
Net Income Common Stockholders,"436,482","436,482","363,614","301,514","288,491"
Diluted NI Available to Com Stockholders,"436,482","436,482","363,614","301,514","288,491"
Basic EPS,-,-,0.0013,0.0011,0.0011
Diluted EPS,-,-,0.0013,0.0011,0.0011
Basic Average Shares,-,-,"288,583","274,104","255,302"
Diluted Average Shares,-,-,"288,583","274,104","255,302"
Total Expenses,"749,029","749,029","690,254","626,714","564,774"
Net Income from Continuing & Discontinued Operation,"436,482","436,482","363,614","318,798","315,571"
Normalized Income,"447,021","447,021","362,523","333,800","312,647"
Interest Expense,"274,951","274,951","257,268","236,548","209,967"
Net Interest Income,"-288,239","-288,239","-268,753","-248,406","-221,613"
EBIT,"761,129","718,587","627,206","561,910","529,706"
EBITDA,"1,312,548",-,-,-,-
Reconciled Cost of Revenue,"88,585","88,585","66,326","69,480","62,865"
Reconciled Depreciation,"593,961","593,961","539,780","498,788","449,943"
Net Income from Continuing Operation Net Minority Interest,"436,482","436,482","363,614","318,798","315,571"
Total Unusual Items Excluding Goodwill,"-10,687","-10,687","1,107","-15,286","2,954"
Total Unusual Items,"-10,687","-10,687","1,107","-15,286","2,954"
Normalized EBITDA,"1,323,235","1,323,235","1,165,879","1,075,984","976,695"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,-148.3436,-148.3436,15.9794,-283.9563,30.1369
