Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"780,096","737,671","566,336","433,047","329,141"
Cost of Revenue,"110,475","109,747","90,763","72,028","54,066"
Gross Profit,"669,621","627,924","475,573","361,019","275,075"
Operating Expense,"416,621","401,700","301,858","282,394","217,104"
Operating Income,"253,000","226,224","173,715","78,625","57,971"
Net Non Operating Interest Income Expense,-680,-940,-766,-911,"-1,036"
Other Income Expense,-27,803,"1,762","-1,067",308
Pretax Income,"252,293","226,087","174,711","76,647","57,243"
Tax Provision,"55,984","45,511","37,646","9,840","13,403"
Net Income Common Stockholders,"196,256","180,495","136,906","66,636","43,507"
Average Dilution Earnings,0,1,3,3,0
Diluted NI Available to Com Stockholders,"196,256","180,496","136,909","66,639","43,507"
Basic EPS,-,0.0031,0.0024,0.0012,0
Diluted EPS,-,0.0031,0.0023,0.0011,0
Basic Average Shares,-,"57,561","57,711","57,839","57,550"
Diluted Average Shares,-,"58,395","58,582","58,790","58,968"
Total Operating Income as Reported,"253,000","226,224","173,715","78,625","57,971"
Total Expenses,"527,096","511,447","392,621","354,422","271,170"
Net Income from Continuing & Discontinued Operation,"196,309","180,576","137,065","66,807","43,840"
Normalized Income,"196,309","180,576","137,065","66,807","43,840"
Interest Expense,680,940,766,911,"1,036"
Net Interest Income,-680,-940,-766,-911,"-1,036"
EBIT,"252,973","227,027","175,477","77,558","58,279"
EBITDA,"298,052",-,-,-,-
Reconciled Cost of Revenue,"88,676","89,336","76,231","62,438","48,268"
Reconciled Depreciation,"45,079","42,211","29,657","19,395","13,632"
Net Income from Continuing Operation Net Minority Interest,"196,309","180,576","137,065","66,807","43,840"
Total Unusual Items Excluding Goodwill,-,-,-,-,0
Total Unusual Items,-,-,-,-,0
Normalized EBITDA,"298,052","269,238","205,134","96,953","71,911"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
