Breakdown,ttm,5/31/2019,5/31/2018,5/31/2017,5/31/2016
Total Revenue,"4,105,800","3,772,500","3,380,900","3,151,300","2,951,900"
Cost of Revenue,"1,311,200","1,177,800","1,017,800","919,600","857,100"
Gross Profit,"2,794,600","2,594,700","2,363,100","2,231,700","2,094,800"
Operating Expense,"1,319,200","1,223,400","1,075,600","992,100","948,200"
Operating Income,"1,475,400","1,371,300","1,287,500","1,239,600","1,146,600"
Net Non Operating Interest Income Expense,"-23,800","-4,300","8,000","7,400","7,300"
Other Income Expense,-,"1,000",600,"-2,200","-2,800"
Pretax Income,"1,456,000","1,368,000","1,296,100","1,244,800","1,151,100"
Tax Provision,"348,200","333,600","362,400","427,500","394,300"
Net Income Common Stockholders,"1,107,800","1,034,400","933,700","817,300","756,800"
Diluted NI Available to Com Stockholders,"1,107,800","1,034,400","933,700","817,300","756,800"
Basic EPS,-,0.0029,0.0026,0.0023,0.0021
Diluted EPS,-,0.0029,0.0026,0.0023,0.0021
Basic Average Shares,-,"359,200","359,000","359,800","360,700"
Diluted Average Shares,-,"361,800","361,500","362,600","362,500"
Total Operating Income as Reported,"1,475,400","1,371,300","1,287,500","1,239,600","1,146,600"
Total Expenses,"2,630,400","2,401,200","2,093,400","1,911,700","1,805,300"
Net Income from Continuing & Discontinued Operation,"1,107,800","1,034,400","933,700","817,300","756,800"
Normalized Income,"1,107,800","1,034,400","933,700","817,300","756,800"
Interest Income,"15,100","13,300","11,900","9,900","8,400"
Interest Expense,"38,900","17,600","3,900","2,500","1,100"
Net Interest Income,"-23,800","-4,300","8,000","7,400","7,300"
EBIT,"1,494,900","1,385,600","1,300,000","1,247,300","1,152,200"
EBITDA,"1,708,700",-,-,-,-
Reconciled Cost of Revenue,"1,311,200","1,177,800","1,017,800","919,600","857,100"
Reconciled Depreciation,"213,800","181,500","138,000","126,900","115,100"
Net Income from Continuing Operation Net Minority Interest,"1,107,800","1,034,400","933,700","817,300","756,800"
Total Unusual Items Excluding Goodwill,-,-,"8,600","5,200","4,500"
Total Unusual Items,-,-,"8,600","5,200","4,500"
Normalized EBITDA,"1,708,700","1,567,100","1,438,000","1,374,200","1,267,300"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
