Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"24,273,800","25,599,700","23,495,700","19,456,400","17,033,300"
Cost of Revenue,"20,611,800","21,584,300","19,839,900","16,470,800","14,280,100"
Gross Profit,"3,662,000","4,015,400","3,655,800","2,985,600","2,753,200"
Operating Expense,"1,042,600","1,040,500","967,300","842,000","805,800"
Operating Income,"2,619,400","2,974,900","2,688,500","2,143,600","1,947,400"
Net Non Operating Interest Income Expense,"44,800","42,000","60,800","-5,600","-11,600"
Other Income Expense,"77,800","82,300","60,900","35,300","-805,400"
Pretax Income,"2,742,000","3,099,200","2,810,200","2,173,300","1,130,400"
Tax Provision,"623,700","711,300","615,100","498,100","608,700"
Net Income Common Stockholders,"2,118,300","2,387,900","2,195,100","1,675,200","521,700"
Diluted NI Available to Com Stockholders,"2,118,300","2,387,900","2,195,100","1,675,200","521,700"
Basic EPS,-,0.0069,0.0063,0.0048,0.0015
Diluted EPS,-,0.0069,0.0062,0.0048,0.0015
Basic Average Shares,-,"346,900","351,000","351,900","351,100"
Diluted Average Shares,-,"347,500","351,800","352,900","351,800"
Total Expenses,"21,654,400","22,624,800","20,807,200","17,312,800","15,085,900"
Net Income from Continuing & Discontinued Operation,"2,118,300","2,387,900","2,195,100","1,675,200","521,700"
Normalized Income,"2,058,197","2,324,529","2,147,537","1,647,984","1,004,940"
Interest Income,"44,800","42,000","60,800","-5,600","-11,600"
Net Interest Income,"44,800","42,000","60,800","-5,600","-11,600"
EBIT,"2,619,400","2,974,900","2,688,500","2,143,600","1,947,400"
EBITDA,"3,709,600",-,-,-,-
Reconciled Cost of Revenue,"20,611,800","21,584,300","19,839,900","16,470,800","14,280,100"
Reconciled Depreciation,"1,090,200","1,077,300","1,054,100","1,107,500","993,100"
Net Income from Continuing Operation Net Minority Interest,"2,118,300","2,387,900","2,195,100","1,675,200","521,700"
Total Unusual Items Excluding Goodwill,"77,800","82,300","60,900","35,300","-805,400"
Total Unusual Items,"77,800","82,300","60,900","35,300","-805,400"
Normalized EBITDA,"3,631,800","3,969,900","3,681,700","3,215,800","3,745,900"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"17,697","18,929","13,337","8,084","-322,160"
