Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"1,997,383","1,997,383","1,846,689","1,848,378","2,129,294"
Cost of Revenue,"879,370","879,370","705,038","666,251","738,399"
Gross Profit,"1,118,013","1,118,013","1,141,651","1,182,127","1,390,895"
Operating Expense,"761,698","761,698","656,973","631,461","671,719"
Operating Income,"356,315","356,315","484,678","550,666","719,176"
Net Non Operating Interest Income Expense,"-234,668","-225,619","-266,343","-307,716","-464,403"
Other Income Expense,"-79,272","-79,272","839,879","167,450","112,511"
Pretax Income,"51,424","51,424","1,058,214","410,400","367,284"
Tax Provision,"-17,262","-17,262","-17,854","-1,333","4,473"
Earnings from Equity Interest Net of Tax,"-8,625","-8,625","-2,594","10,901","11,360"
Net Income Common Stockholders,"43,987","43,987","1,058,424","413,013","626,549"
Diluted NI Available to Com Stockholders,"262,937","43,987","1,058,424","413,013","626,549"
Basic EPS,-,-,0.0023,0,0.0013
Diluted EPS,-,-,0.0022,0,0.0013
Basic Average Shares,-,-,"470,551","468,759","467,195"
Diluted Average Shares,-,-,"475,387","468,935","467,403"
Total Expenses,"1,641,068","1,641,068","1,362,011","1,297,712","1,410,118"
Net Income from Continuing & Discontinued Operation,"45,530","45,530","1,061,093","414,169","627,747"
Normalized Income,"236,353","236,353","457,702","332,551","254,461"
Interest Income,"9,844","9,844","10,406","56,237","88,808"
Interest Expense,"225,619","225,619","266,343","307,716","464,403"
Net Interest Income,"-225,619","-225,619","-266,343","-307,716","-464,403"
EBIT,"277,043","277,043","1,324,557","718,116","831,687"
EBITDA,"937,032",-,-,-,-
Reconciled Cost of Revenue,"879,370","879,370","705,038","666,251","739,596"
Reconciled Depreciation,"717,314","659,989","549,499","534,726","566,911"
Net Income from Continuing Operation Net Minority Interest,"45,530","45,530","1,061,093","414,169","361,992"
Total Unusual Items Excluding Goodwill,"-261,401","-261,401","826,563","136,030","108,857"
Total Unusual Items,"-261,401","-261,401","826,563","136,030","108,857"
Normalized EBITDA,"1,198,433","1,198,433","1,047,493","1,116,812","1,290,938"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-70,578","-70,578","223,172","54,412","1,326"
