Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"9,877,000","10,076,000","9,696,000","9,084,000","9,061,000"
Cost of Revenue,"6,263,000","6,483,000","6,240,000","5,669,000","6,009,000"
Gross Profit,"3,614,000","3,593,000","3,456,000","3,415,000","3,052,000"
Operating Expense,"1,258,000","1,248,000","1,158,000","1,986,000","1,476,000"
Operating Income,"2,356,000","2,345,000","2,298,000","1,429,000","1,576,000"
Net Non Operating Interest Income Expense,"-573,000","-553,000","-458,000","-370,000","-363,000"
Other Income Expense,"-190,000","158,000","15,000","209,000","85,000"
Pretax Income,"1,593,000","1,950,000","1,855,000","1,268,000","1,298,000"
Tax Provision,"152,000","257,000","417,000","-306,000","411,000"
Net Income Common Stockholders,"1,441,000","1,693,000","1,438,000","1,574,000","887,000"
Diluted NI Available to Com Stockholders,"1,441,000","1,693,000","1,438,000","1,574,000","887,000"
Basic EPS,-,0.0034,0.0029,0.0031,0.0018
Diluted EPS,-,0.0033,0.0028,0.0031,0.0018
Basic Average Shares,-,"504,000","504,000","505,000","505,000"
Diluted Average Shares,-,"507,000","507,000","507,000","508,000"
Total Operating Income as Reported,"1,954,000","1,943,000","2,298,000","1,429,000","1,576,000"
Total Expenses,"7,521,000","7,731,000","7,398,000","7,655,000","7,485,000"
Interest Income,-,"16,000","18,000","21,000","22,000"
Interest Expense,"589,000","569,000","476,000","391,000","385,000"
Net Interest Income,"-573,000","-553,000","-458,000","-370,000","-363,000"
Net Income from Continuing & Discontinued Operation,"1,441,000","1,693,000","1,438,000","1,574,000","887,000"
Normalized Income,"1,469,947","1,725,124","1,479,850","1,431,200","834,409"
EBIT,"2,182,000","2,519,000","2,331,000","1,659,000","1,683,000"
EBITDA,"3,618,000",-,-,-,-
Reconciled Cost of Revenue,"6,085,000","6,305,000","6,053,000","5,470,000","5,806,000"
Reconciled Depreciation,"1,436,000","1,426,000","1,345,000","2,185,000","1,679,000"
Net Income from Continuing Operation Net Minority Interest,"1,441,000","1,693,000","1,438,000","1,574,000","887,000"
Total Unusual Items Excluding Goodwill,"-32,000","-37,000","-54,000","238,000","77,000"
Total Unusual Items,"-32,000","-37,000","-54,000","238,000","77,000"
Normalized EBITDA,"3,650,000","3,982,000","3,730,000","3,606,000","3,285,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-3,053","-4,876","-12,150","95,200","24,409"
