Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"17,029,500","16,222,100","14,237,200","14,093,200","12,394,100"
Total Expenses,"15,534,000","14,528,800","12,452,800","11,841,000","10,802,400"
Pretax Income,"1,495,500","1,693,300","1,784,400","2,252,200","1,591,700"
Tax Provision,"218,500","249,200","230,700","-72,300","229,900"
Net Income Common Stockholders,"1,253,200","1,394,200","1,546,500","2,310,400","1,316,500"
Diluted NI Available to Com Stockholders,"1,253,200","1,394,200","1,546,500","2,310,400","1,316,500"
Basic EPS,-,0.005,0.0054,0.008,0.0046
Diluted EPS,-,0.005,0.0054,0.0079,0.0045
Basic Average Shares,-,"276,600","285,800","288,900","289,400"
Diluted Average Shares,-,"276,600","288,800","293,100","292,700"
Net Income from Continuing & Discontinued Operation,"1,253,200","1,394,200","1,546,500","2,310,400","1,316,500"
Normalized Income,"1,253,200","1,394,200","1,546,500","2,310,400","1,316,500"
Reconciled Depreciation,-,"226,800","205,100","195,700","186,600"
Net Income from Continuing Operation Net Minority Interest,"1,253,200","1,394,200","1,546,500","2,310,400","1,316,500"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
