Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"39,022,000","38,997,700","31,954,700","26,816,100","23,417,400"
Total Expenses,"34,554,500","33,837,400","28,791,100","24,677,200","21,946,700"
Pretax Income,"4,467,500","5,160,300","3,163,600","2,138,900","1,470,700"
Tax Provision,"871,200","1,180,300","542,600","540,800","413,500"
Net Income Common Stockholders,"3,557,700","3,943,400","2,593,900","1,592,200","1,031,000"
Diluted NI Available to Com Stockholders,"3,557,700","3,943,400","2,593,900","1,592,200","1,031,000"
Basic EPS,-,0.0068,0.0045,0.0027,0.0018
Diluted EPS,-,0.0067,0.0044,0.0027,0.0018
Basic Average Shares,-,"583,800","582,400","580,800","581,700"
Diluted Average Shares,-,"587,200","586,700","585,700","585,000"
Net Income from Continuing & Discontinued Operation,"3,584,600","3,970,300","2,615,300","1,592,200","1,031,000"
Normalized Income,"3,584,600","3,970,300","2,615,300","1,592,200","1,029,848"
EBIT,"4,657,800","5,350,000","3,330,100","2,292,000","1,611,600"
Reconciled Depreciation,"312,700","306,100","262,400","236,100","199,500"
Net Income from Continuing Operation Net Minority Interest,"3,584,600","3,970,300","2,615,300","1,592,200","1,031,000"
Total Unusual Items Excluding Goodwill,-,-,-,-,"1,600"
Total Unusual Items,-,-,-,-,"1,600"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,448
Interest Expense,"190,300","189,700","166,500","153,100","140,900"
