Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,"70,346,000","67,684,000","66,832,000","65,058,000","65,299,000"
Cost of Revenue,"35,246,000","34,768,000","34,268,000","32,535,000","32,909,000"
Gross Profit,"35,100,000","32,916,000","32,564,000","32,523,000","32,390,000"
Operating Expense,"19,722,000","19,084,000","18,853,000","18,568,000","18,949,000"
Operating Income,"15,378,000","13,832,000","13,711,000","13,955,000","13,441,000"
Net Non Operating Interest Income Expense,"-234,000","-289,000","-259,000","-294,000","-397,000"
Other Income Expense,"-7,836,000","-7,474,000","-126,000","-404,000","325,000"
Pretax Income,"7,308,000","6,069,000","13,326,000","13,257,000","13,369,000"
Tax Provision,"2,228,000","2,103,000","3,465,000","3,063,000","3,342,000"
Net Income Common Stockholders,"4,725,000","3,634,000","9,485,000","15,079,000","10,253,000"
Average Dilution Earnings,-,-,"265,000","247,000","255,000"
Diluted NI Available to Com Stockholders,"4,723,000","3,634,000","9,750,000","15,326,000","10,508,000"
Basic EPS,-,0.0015,0.0038,0.0058,0.0038
Diluted EPS,-,0.0014,0.0037,0.0056,0.0037
Basic Average Shares,-,"2,687,586","2,529,300","2,642,414","2,765,263"
Diluted Average Shares,-,"2,687,586","2,656,700","2,740,400","2,844,400"
Total Operating Income as Reported,"7,033,000","5,487,000","13,711,000","13,955,000","13,441,000"
Total Expenses,"54,968,000","53,852,000","53,121,000","51,103,000","51,858,000"
Net Income from Continuing & Discontinued Operation,"4,986,000","3,897,000","9,750,000","15,326,000","10,508,000"
Normalized Income,"4,986,000","9,346,285","9,750,000","10,109,000","9,931,000"
Interest Income,"185,000","220,000","247,000","171,000","182,000"
Interest Expense,"419,000","509,000","506,000","465,000","579,000"
Net Interest Income,"-234,000","-289,000","-259,000","-294,000","-397,000"
EBIT,"7,727,000","6,578,000","13,832,000","13,722,000","13,948,000"
EBITDA,"10,746,000",-,-,-,-
Reconciled Cost of Revenue,"35,246,000","34,768,000","34,268,000","32,535,000","32,909,000"
Reconciled Depreciation,"3,019,000","2,824,000","2,834,000","2,820,000","3,078,000"
Net Income from Continuing Operation Net Minority Interest,"4,986,000","3,897,000","9,750,000","10,109,000","9,931,000"
Total Unusual Items Excluding Goodwill,-,"-8,345,000",-,0,0
Total Unusual Items,-,"-8,345,000",-,0,0
Normalized EBITDA,"10,746,000","17,747,000","16,666,000","16,542,000","17,026,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"-2,895,715",0,0,0
