Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"10,511,244","10,212,957","10,188,331","8,573,250","7,668,476"
Cost of Revenue,"8,034,106","7,815,568","7,814,919","6,714,890","5,728,662"
Gross Profit,"2,477,138","2,397,389","2,373,412","1,858,360","1,939,814"
Operating Expense,"1,070,586","1,058,537","1,025,823","905,381","970,950"
Operating Income,"1,406,552","1,338,852","1,347,589","952,979","968,864"
Net Non Operating Interest Income Expense,"14,360","16,155","6,975","2,034","2,550"
Other Income Expense,"-34,270","-15,431","-7,024","-16,185","-37,564"
Pretax Income,"1,386,642","1,339,576","1,347,540","938,828","933,850"
Tax Provision,"332,988","322,876","325,517","491,607","331,147"
Net Income Common Stockholders,"1,043,191","1,006,329","1,010,831","442,649","597,981"
Average Dilution Earnings,30,26,45,19,20
Diluted NI Available to Com Stockholders,"1,043,221","1,006,355","1,010,876","442,668","598,001"
Basic EPS,-,0.0037,0.0036,0.0015,0.0018
Diluted EPS,-,0.0037,0.0035,0.0014,0.0018
Basic Average Shares,-,"274,495","283,578","305,089","339,747"
Diluted Average Shares,-,"275,297","284,865","306,814","342,123"
Total Expenses,"9,104,692","8,874,105","8,840,742","7,620,271","6,699,612"
Net Income from Continuing & Discontinued Operation,"1,053,654","1,016,700","1,022,023","447,221","602,703"
Normalized Income,"1,083,781","1,030,395","1,034,903","454,041","614,193"
Interest Income,"15,597","16,739","7,593","2,537","3,236"
Interest Expense,"1,237",584,618,503,686
Net Interest Income,"14,360","16,155","6,975","2,034","2,550"
EBIT,"1,387,879","1,340,160","1,348,158","939,331","934,536"
EBITDA,"1,443,817",-,-,-,-
Reconciled Cost of Revenue,"7,993,475","7,775,769","7,779,290","6,677,692","5,688,455"
Reconciled Depreciation,"55,938","53,999","49,429","50,998","54,007"
Net Income from Continuing Operation Net Minority Interest,"1,053,654","1,016,700","1,022,023","447,221","602,703"
Total Unusual Items Excluding Goodwill,"-39,648","-18,043","-16,992","-11,367","-17,814"
Total Unusual Items,"-39,648","-18,043","-16,992","-11,367","-17,814"
Normalized EBITDA,"1,483,465","1,412,202","1,414,579","1,001,696","1,006,357"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-9,521","-4,348","-4,112","-4,547","-6,324"
