Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"6,939,300","6,964,300","7,014,600","6,444,900","5,779,000"
Cost of Revenue,"5,351,700","5,320,300","5,369,300","4,972,700","4,503,300"
Gross Profit,"1,587,600","1,644,000","1,645,300","1,472,200","1,275,700"
Operating Expense,"563,500","557,600","536,400","522,600","471,100"
Operating Income,"1,024,100","1,086,400","1,108,900","949,600","804,600"
Net Non Operating Interest Income Expense,"-124,300","-128,800","-97,200","-102,600","-91,800"
Other Income Expense,"-42,000","-40,600","-41,200","-18,400","-24,300"
Pretax Income,"857,800","917,000","970,500","828,600","688,500"
Tax Provision,"206,500","220,600","232,500","160,000","238,900"
Net Income Common Stockholders,"646,300","691,200","732,300","663,000","445,200"
Average Dilution Earnings,-,"-5,200",-,-,-
Diluted NI Available to Com Stockholders,"646,300","691,200","732,300","663,000","445,200"
Basic EPS,-,0.0074,0.0078,0.0071,0.0048
Diluted EPS,-,0.0073,0.0078,0.0071,0.0048
Basic Average Shares,-,"94,620","93,645","93,512","93,529"
Diluted Average Shares,-,"94,620","93,900","93,700","93,700"
Total Operating Income as Reported,"987,400","1,053,700","1,067,700","931,200","780,300"
Total Expenses,"5,915,200","5,877,900","5,905,700","5,495,300","4,974,400"
Net Income from Continuing & Discontinued Operation,"651,300","696,400","738,000","668,600","449,600"
Normalized Income,"672,332","716,134","764,220","680,302","466,643"
Interest Expense,"124,300","128,800","97,200","102,600","91,800"
Net Interest Income,"-124,300","-128,800","-97,200","-102,600","-91,800"
EBIT,"982,100","1,045,800","1,067,700","931,200","780,300"
EBITDA,"1,375,100",-,-,-,-
Reconciled Cost of Revenue,"5,351,700","5,320,300","5,369,300","4,972,700","4,503,300"
Reconciled Depreciation,"393,000","387,500","410,900","391,400","358,000"
Net Income from Continuing Operation Net Minority Interest,"651,300","696,400","738,000","668,600","449,600"
Total Unusual Items Excluding Goodwill,"-27,700","-26,000","-34,500","-14,500","-26,100"
Total Unusual Items,"-27,700","-26,000","-34,500","-14,500","-26,100"
Normalized EBITDA,"1,402,800","1,459,300","1,513,100","1,337,100","1,164,400"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-6,668","-6,266","-8,280","-2,798","-9,057"
