Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"3,536,810","3,330,621","2,804,449","2,618,134","2,533,135"
Cost of Revenue,"966,993","918,927","757,688","724,664","697,376"
Gross Profit,"2,569,817","2,411,694","2,046,761","1,893,470","1,835,759"
Operating Expense,"1,492,435","1,419,746","1,199,759","1,122,404","1,167,381"
Operating Income,"1,077,382","991,948","847,002","771,066","668,378"
Net Non Operating Interest Income Expense,"-238,280","-215,740","-214,478","-260,755","-295,045"
Other Income Expense,"1,102,196","1,000,155","1,253,766","1,305,257","973,373"
Pretax Income,"1,941,163","1,776,363","1,886,290","1,815,568","1,347,104"
Tax Provision,"91,918","74,517","63,330","54,609","54,564"
Net Income Common Stockholders,"1,709,321","1,566,950","1,643,426","1,641,931","1,203,218"
Average Dilution Earnings,"50,378","46,986","49,743","46,280","37,079"
Diluted NI Available to Com Stockholders,"1,759,699","1,613,936","1,693,169","1,688,211","1,240,297"
Basic EPS,-,-,0.0029,0.0031,0.0023
Diluted EPS,-,-,0.0029,0.0031,0.0023
Basic Average Shares,-,-,"567,367","530,400","526,103"
Diluted Average Shares,-,-,"590,239","552,300","546,666"
Total Operating Income as Reported,"1,941,233","1,849,766","847,002","771,066","668,378"
Total Expenses,"2,459,428","2,338,673","1,957,447","1,847,068","1,864,757"
Net Income from Continuing & Discontinued Operation,"1,715,466","1,572,959","1,649,361","1,652,325","1,209,932"
Normalized Income,"886,706","806,540","725,935","686,797","473,936"
Interest Income,"16,673","24,213","14,663","13,731","8,101"
Interest Expense,"241,660","226,660","215,898","260,007","287,687"
Net Interest Income,"-238,280","-215,740","-214,478","-260,755","-295,045"
EBIT,"2,182,823","2,003,023","2,102,188","2,075,575","1,634,791"
EBITDA,"3,384,663",-,-,-,-
Reconciled Cost of Revenue,"966,993","918,927","757,688","724,664","697,376"
Reconciled Depreciation,"1,201,840","1,139,879","947,214","879,140","930,985"
Net Income from Continuing Operation Net Minority Interest,"1,715,466","1,572,959","1,649,361","1,652,325","1,209,932"
Total Unusual Items Excluding Goodwill,"869,954","799,977","955,506","995,470","767,066"
Total Unusual Items,"869,954","799,977","955,506","995,470","767,066"
Normalized EBITDA,"2,514,709","2,342,925","2,093,896","1,959,245","1,798,710"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"41,194","33,558","32,080","29,942","31,070"
