Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"18,058,000","17,827,000","17,132,000","16,329,000","15,162,000"
Credit Losses Provision,"-1,498,000","-773,000","-408,000","-441,000","-433,000"
Non Interest Expense,"10,539,000","10,574,000","10,296,000","10,398,000","9,476,000"
Pretax Income,"6,021,000","6,480,000","6,428,000","5,490,000","5,253,000"
Tax Provision,"959,000","1,062,000","1,082,000","102,000","1,268,000"
Net Income Common Stockholders,"4,756,000","5,108,000","5,040,000","5,053,000","3,662,000"
Average Dilution Earnings,"-8,000","-10,000","-9,000","-16,000","-12,000"
Diluted NI Available to Com Stockholders,"4,748,000","5,098,000","5,031,000","5,037,000","3,650,000"
Basic EPS,-,0.0114,0.0108,0.0105,0.0074
Diluted EPS,-,0.0114,0.0107,0.0104,0.0073
Basic Average Shares,-,"447,000","467,000","481,000","494,000"
Diluted Average Shares,-,"448,000","470,000","486,000","500,000"
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,"8,503,000","9,192,000","9,313,000","8,667,000","7,958,000"
Net Income from Continuing & Discontinued Operation,"5,016,000","5,369,000","5,301,000","5,338,000","3,903,000"
Normalized Income,"5,016,000","5,369,000","5,301,000","5,338,000","3,903,000"
Reconciled Depreciation,"1,371,000","1,315,000","1,129,000","1,117,000","1,193,000"
Net Income from Continuing Operation Net Minority Interest,"5,016,000","5,369,000","5,301,000","5,338,000","3,903,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
