Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"3,392,609","3,471,209","3,691,247","3,565,296","3,498,682"
Cost of Revenue,"1,917,470","1,983,853","2,112,860","1,905,744","1,986,829"
Gross Profit,"1,475,139","1,487,356","1,578,387","1,659,552","1,511,853"
Operating Expense,"822,841","815,396","804,700","725,125","655,869"
Operating Income,"652,298","671,960","773,687","934,427","855,984"
Net Non Operating Interest Income Expense,"-206,541","-206,346","-209,638","-194,187","-184,866"
Other Income Expense,"85,731","76,426","100,393","25,981","26,820"
Pretax Income,"531,488","542,040","664,442","766,221","697,938"
Tax Provision,"-38,400","-15,773","133,902","258,272","236,411"
Net Income Common Stockholders,"550,395","538,320","511,047","488,456","442,034"
Diluted NI Available to Com Stockholders,"550,395","538,320","511,047","488,456","442,034"
Basic EPS,-,-,0.0046,0.0044,0.004
Diluted EPS,-,-,0.0045,0.0044,0.004
Basic Average Shares,-,-,"112,129","111,839","111,409"
Diluted Average Shares,-,-,"112,550","112,367","112,046"
Total Operating Income as Reported,"652,298","671,960","773,687","934,427","855,984"
Total Expenses,"2,740,311","2,799,249","2,917,560","2,630,869","2,642,698"
Interest Income,"11,352","10,377","8,647","3,497",884
Interest Expense,"217,893","216,723","218,285","197,684","185,750"
Net Interest Income,"-206,541","-206,346","-209,638","-194,187","-184,866"
Net Income from Continuing & Discontinued Operation,"550,395","538,320","511,047","488,456","442,034"
Normalized Income,"531,121","516,715","469,605","460,018","415,323"
EBIT,"749,381","758,763","882,727","963,905","883,688"
EBITDA,"1,418,888",-,-,-,-
Reconciled Cost of Revenue,"1,844,264","1,910,642","2,044,259","1,829,233","1,907,647"
Reconciled Depreciation,"669,507","664,140","650,955","610,629","565,011"
Net Income from Continuing Operation Net Minority Interest,"550,395","538,320","511,047","488,456","442,034"
Total Unusual Items Excluding Goodwill,"26,403","29,596","51,902","42,898","40,393"
Total Unusual Items,"26,403","29,596","51,902","42,898","40,393"
Normalized EBITDA,"1,392,485","1,393,307","1,481,780","1,531,636","1,408,306"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"7,129","7,991","10,460","14,460","13,682"
