Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"14,899,000","15,146,000","15,374,000","14,750,000","14,751,000"
Cost of Revenue,"8,488,000","8,653,000","9,001,000","8,204,000","8,063,000"
Gross Profit,"6,411,000","6,493,000","6,373,000","6,546,000","6,688,000"
Operating Expense,"4,562,000","4,539,000","4,501,000","4,472,000","4,575,000"
Operating Income,"1,849,000","1,954,000","1,872,000","2,074,000","2,113,000"
Net Non Operating Interest Income Expense,"-98,000","-100,000","-95,000","-85,000","-99,000"
Other Income Expense,"-190,000","-193,000","-84,000","19,000","-1,187,000"
Pretax Income,"1,561,000","1,661,000","1,693,000","2,008,000","827,000"
Tax Provision,"361,000","392,000","353,000","616,000","241,000"
Net Income Common Stockholders,"1,174,000","1,243,000","1,341,000","1,591,000","877,000"
Diluted NI Available to Com Stockholders,"1,174,000","1,243,000","1,341,000","1,591,000","877,000"
Basic EPS,-,0.0053,0.0055,0.0064,0.0033
Diluted EPS,-,0.0052,0.0055,0.0063,0.0033
Basic Average Shares,-,"236,900","243,900","256,100","265,600"
Diluted Average Shares,-,"238,200","245,400","257,800","267,400"
Total Expenses,"13,050,000","13,192,000","13,502,000","12,676,000","12,638,000"
Net Income from Continuing & Discontinued Operation,"1,174,000","1,243,000","1,341,000","1,591,000","877,000"
Normalized Income,"1,311,604","1,372,116","1,349,103","1,363,377","1,331,138"
Interest Income,"35,000","32,000","23,000","20,000","26,000"
Interest Expense,"133,000","132,000","118,000","105,000","125,000"
Net Interest Income,"-98,000","-100,000","-95,000","-85,000","-99,000"
EBIT,"1,694,000","1,793,000","1,811,000","2,113,000","952,000"
EBITDA,"2,216,000",-,-,-,-
Reconciled Cost of Revenue,"8,488,000","8,653,000","9,001,000","8,204,000","8,063,000"
Reconciled Depreciation,"522,000","511,000","497,000","460,000","462,000"
Net Income from Continuing Operation Net Minority Interest,"1,174,000","1,243,000","1,323,000","1,371,000","564,000"
Total Unusual Items Excluding Goodwill,"-179,000","-169,000","-33,000","11,000","-1,082,000"
Total Unusual Items,"-179,000","-169,000","-33,000","11,000","-1,082,000"
Normalized EBITDA,"2,395,000","2,473,000","2,341,000","2,562,000","2,496,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-41,396","-39,884","-6,897","3,377","-314,862"
