Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"64,807,000","64,807,000","62,992,000","59,689,000","58,779,000"
Total Expenses,"59,722,000","59,722,000","58,158,000","53,202,000","53,074,000"
Pretax Income,"5,085,000","5,085,000","4,834,000","6,487,000","5,705,000"
Tax Provision,"947,000","947,000","822,000","-1,438,000","1,335,000"
Earnings from Equity Interest Net of Tax,"81,000","100,000","76,000","49,000","49,000"
Net Income Common Stockholders,"4,140,000","4,140,000","4,026,000","7,768,000","4,318,000"
Average Dilution Earnings,"13,000","13,000","22,000","18,000","18,000"
Diluted NI Available to Com Stockholders,"4,153,000","4,153,000","4,048,000","7,786,000","4,336,000"
Basic EPS,-,-,0.0098,0.0184,0.0102
Diluted EPS,-,-,0.0096,0.018,0.0102
Basic Average Shares,-,-,"417,600","427,000","429,574"
Diluted Average Shares,-,-,"426,200","436,000","429,574"
Net Income from Continuing & Discontinued Operation,"4,186,000","4,186,000","4,074,000","7,863,000","4,368,000"
Normalized Income,"4,186,000","4,186,000","4,074,000","7,863,000","4,368,000"
EBIT,"6,625,000","6,625,000","6,248,000","7,809,000","7,020,000"
Reconciled Depreciation,"460,000","460,000","161,000","222,000","318,000"
Net Income from Continuing Operation Net Minority Interest,"4,186,000","4,186,000","4,074,000","7,863,000","4,368,000"
Total Unusual Items Excluding Goodwill,"488,000","488,000","-1,597,000","83,000","-216,000"
Total Unusual Items,"488,000","488,000","-1,597,000","83,000","-216,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
Interest Expense,"1,540,000","1,540,000","1,414,000","1,322,000","1,315,000"
