Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"2,873,867","2,846,823","2,754,280","2,668,528","2,560,549"
Cost of Revenue,"811,452","796,783","739,722","707,978","669,083"
Gross Profit,"2,062,415","2,050,040","2,014,558","1,960,550","1,891,466"
Operating Expense,"600,421","584,901","602,366","537,408","516,970"
Operating Income,"1,461,994","1,465,139","1,412,192","1,423,142","1,374,496"
Net Non Operating Interest Income Expense,"-23,169","-17,205","-6,058","6,071","10,938"
Other Income Expense,"86,284","77,717","311,131","19,242","75,015"
Pretax Income,"1,525,109","1,525,651","1,717,265","1,448,455","1,460,449"
Net Income Common Stockholders,"1,284,158","1,272,767","1,488,900","1,171,609","1,183,879"
Diluted NI Available to Com Stockholders,"1,284,158","1,272,767","1,488,900","1,171,609","1,183,879"
Basic EPS,-,-,0.0086,0.0068,0.0068
Diluted EPS,-,-,0.0085,0.0067,0.0068
Basic Average Shares,-,-,"173,969","173,613","173,091"
Diluted Average Shares,-,-,"174,297","174,151","173,878"
Total Operating Income as Reported,-,-,-,"1,423,142","1,374,496"
Total Expenses,"1,411,873","1,381,684","1,342,088","1,245,386","1,186,053"
Net Income from Continuing & Discontinued Operation,"1,520,169","1,520,534","1,711,031","1,442,217","1,453,576"
Normalized Income,"1,512,547","1,514,570","1,670,136","1,476,065","1,442,621"
Interest Income,"27,950","28,436","26,442","18,771","15,138"
Interest Expense,"51,119","45,641","32,500","12,700","4,200"
Net Interest Income,"-23,169","-17,205","-6,058","6,071","10,938"
EBIT,"1,576,228","1,571,292","1,749,765","1,461,155","1,464,649"
EBITDA,"2,103,105",-,-,-,-
Reconciled Cost of Revenue,"811,452","796,783","739,722","707,978","669,083"
Reconciled Depreciation,"526,877","512,918","483,646","454,526","433,314"
Net Income from Continuing Operation Net Minority Interest,"1,520,169","1,520,534","1,711,031","1,442,217","1,453,576"
Total Unusual Items Excluding Goodwill,"10,441","8,170","56,020","-56,413","18,259"
Total Unusual Items,"10,441","8,170","56,020","-56,413","18,259"
Normalized EBITDA,"2,092,664","2,076,040","2,177,391","1,972,094","1,879,704"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"2,819","2,206","15,125","-22,565","7,304"
