Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"9,671,000","9,671,000","9,379,000","5,294,000","3,951,000"
Cost of Revenue,"7,356,000","7,356,000","6,603,000","4,013,000","3,794,000"
Gross Profit,"2,315,000","2,315,000","2,776,000","1,281,000","157,000"
Operating Expense,"508,000","434,000","951,000","438,000","526,000"
Operating Income,"1,807,000","1,881,000","1,825,000","843,000","-369,000"
Net Non Operating Interest Income Expense,"-48,000","-48,000","-97,000","-121,000","-185,000"
Other Income Expense,"-772,000","-846,000","-477,000","-413,000","-405,000"
Pretax Income,"987,000","987,000","1,251,000","309,000","-959,000"
Tax Provision,"231,000","231,000","276,000","-524,000","-403,000"
Net Income Common Stockholders,"753,000","753,000","973,000","833,000","-556,000"
Diluted NI Available to Com Stockholders,"753,000","753,000","973,000","833,000","-556,000"
Basic EPS,-,-,0.0057,0.0049,-0.0033
Diluted EPS,-,-,0.0057,0.0048,-0.0033
Basic Average Shares,-,-,"171,000","170,000","166,000"
Diluted Average Shares,-,-,"171,000","170,000","166,000"
Total Expenses,"7,864,000","7,790,000","7,554,000","4,451,000","4,320,000"
Interest Income,"73,000","73,000","29,000","32,000","22,000"
Interest Expense,"117,000","117,000","128,000","158,000","201,000"
Net Interest Income,"-48,000","-48,000","-97,000","-121,000","-185,000"
Net Income from Continuing & Discontinued Operation,"756,000","756,000","978,000","833,000","-556,000"
Normalized Income,"1,305,780","1,305,780","1,189,380","940,400","-434,200"
EBIT,"1,104,000","1,104,000","1,379,000","467,000","-758,000"
EBITDA,"2,815,000",-,-,-,-
Reconciled Cost of Revenue,"5,668,000","5,668,000","5,512,000","4,013,000","3,794,000"
Reconciled Depreciation,"1,711,000","1,711,000","1,534,000","1,400,000","1,480,000"
Net Income from Continuing Operation Net Minority Interest,"756,000","756,000","978,000","833,000","-556,000"
Total Unusual Items Excluding Goodwill,"-714,000","-714,000","-271,000","-179,000","-203,000"
Total Unusual Items,"-714,000","-714,000","-271,000","-179,000","-203,000"
Normalized EBITDA,"3,529,000","3,529,000","3,184,000","2,046,000","925,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-164,220","-164,220","-59,620","-71,600","-81,200"
