Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,"24,741,000","24,273,000","22,732,000","22,291,000","23,554,000"
Cost of Revenue,"8,642,000","8,599,000","10,244,000","9,792,000","9,749,000"
Gross Profit,"16,099,000","15,674,000","12,488,000","12,499,000","13,805,000"
Operating Expense,"8,061,000","8,007,000","11,746,000","9,885,000","7,310,000"
Operating Income,"8,038,000","7,667,000","742,000","2,614,000","6,495,000"
Net Non Operating Interest Income Expense,"-324,000","-311,000","-143,000","125,000","314,000"
Other Income Expense,"-54,000","125,000","-86,000","281,000","24,000"
Pretax Income,"7,660,000","7,481,000","513,000","3,020,000","6,833,000"
Tax Provision,"3,612,000","3,095,000","5,377,000","555,000","1,131,000"
Net Income Common Stockholders,"4,048,000","4,386,000","-4,864,000","2,466,000","5,705,000"
Diluted NI Available to Com Stockholders,"4,048,000","4,386,000","-4,864,000","2,466,000","5,705,000"
Basic EPS,-,0.0036,-0.0033,0.0017,0.0038
Diluted EPS,-,0.0036,-0.0033,0.0017,0.0038
Basic Average Shares,-,"1,210,000","1,463,000","1,477,000","1,484,000"
Diluted Average Shares,-,"1,220,000","1,463,000","1,490,000","1,498,000"
Total Operating Income as Reported,"8,038,000","7,667,000","742,000","2,614,000","6,495,000"
Total Expenses,"16,703,000","16,606,000","21,990,000","19,677,000","17,059,000"
Net Income from Continuing & Discontinued Operation,"4,048,000","4,386,000","-4,864,000","2,466,000","5,705,000"
Normalized Income,"4,049,800","4,226,860","-4,907,070","2,174,900","5,615,360"
Interest Income,"280,000","316,000","625,000","619,000","611,000"
Interest Expense,"604,000","627,000","768,000","494,000","297,000"
Net Interest Income,"-324,000","-311,000","-143,000","125,000","314,000"
EBIT,"8,264,000","8,108,000","1,281,000","3,514,000","7,130,000"
EBITDA,"9,658,000",-,-,-,-
Reconciled Cost of Revenue,"8,642,000","8,599,000","10,244,000","9,792,000","9,749,000"
Reconciled Depreciation,"1,394,000","1,401,000","1,561,000","1,461,000","1,428,000"
Net Income from Continuing Operation Net Minority Interest,"4,048,000","4,386,000","-4,864,000","2,466,000","5,705,000"
Total Unusual Items Excluding Goodwill,"-3,000","218,000","59,000","355,000","108,000"
Total Unusual Items,"-3,000","218,000","59,000","355,000","108,000"
Normalized EBITDA,"9,661,000","9,291,000","2,783,000","4,620,000","8,450,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-1,200","58,860","15,930","63,900","18,360"
