Breakdown,ttm,3/31/2020,3/31/2019,3/31/2018,3/31/2017
Total Revenue,"3,239,141","3,239,141","3,090,325","2,973,536","3,032,574"
Cost of Revenue,"1,917,378","1,917,378","1,895,142","1,826,570","1,897,062"
Gross Profit,"1,321,763","1,321,763","1,195,183","1,146,966","1,135,512"
Operating Expense,"898,547","898,547","978,717","1,076,684","1,047,453"
Operating Income,"423,216","423,216","216,466","70,282","88,059"
Net Non Operating Interest Income Expense,"-48,326","-48,326","-32,992","-52,531","-57,667"
Other Income Expense,"20,199","20,199","-91,682",-606,"-3,087"
Pretax Income,"395,089","395,089","91,792","17,145","27,305"
Tax Provision,"60,764","60,764","-41,333","57,433","43,863"
Net Income Common Stockholders,"334,325","334,325","133,125","-40,288","-16,558"
Diluted NI Available to Com Stockholders,"334,325","334,325","133,125","-40,288","-16,558"
Basic EPS,-,0.0029,0.0011,0,0
Diluted EPS,-,0.0028,0.0011,0,0
Basic Average Shares,-,"117,007","119,063","126,322","126,464"
Diluted Average Shares,-,"119,293","127,356","126,946","127,121"
Total Operating Income as Reported,"423,216","423,216","216,466","70,282","88,059"
Total Expenses,"2,815,925","2,815,925","2,873,859","2,903,254","2,944,515"
Net Income from Continuing & Discontinued Operation,"334,325","334,325","133,125","-40,288","-16,558"
Normalized Income,"334,325","334,325","133,125","-40,288","-16,558"
Interest Income,"12,066","12,066","10,971","7,017","1,212"
Interest Expense,"60,392","60,392","43,963","59,548","58,879"
Net Interest Income,"-48,326","-48,326","-32,992","-52,531","-57,667"
EBIT,"455,481","455,481","135,755","76,693","86,184"
EBITDA,"924,412",-,-,-,-
Reconciled Cost of Revenue,"1,917,378","1,917,378","1,895,142","1,826,570","1,897,062"
Reconciled Depreciation,"468,931","468,931","663,097","714,215","704,577"
Net Income from Continuing Operation Net Minority Interest,"334,325","334,325","133,125","-40,288","-16,558"
Normalized EBITDA,"924,412","924,412","798,852","790,908","790,761"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
