Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"8,319,000","7,863,400","6,710,800","5,872,227","4,860,427"
Cost of Revenue,"827,400","782,200","434,100","397,061","299,694"
Gross Profit,"7,491,600","7,081,200","6,276,700","5,475,166","4,560,733"
Operating Expense,"5,061,700","4,871,400","3,742,300","3,395,575","3,229,992"
Operating Income,"2,429,900","2,209,800","2,534,400","2,079,591","1,330,741"
Net Non Operating Interest Income Expense,"-28,600","-30,200","-28,200","-25,119","-7,195"
Other Income Expense,"150,300","249,500","47,300","24,039","6,269"
Pretax Income,"2,551,600","2,429,100","2,553,500","2,078,511","1,329,815"
Tax Provision,"272,300","313,300","109,100","880,000","434,293"
Net Income Common Stockholders,"2,279,300","2,115,800","2,444,400","1,198,511","895,522"
Average Dilution Earnings,-,-,0,0,397
Diluted NI Available to Com Stockholders,"2,279,300","2,115,800","2,444,400","1,198,511","895,919"
Basic EPS,-,-,0.0227,0.0113,0.0086
Diluted EPS,-,-,0.0213,0.0103,0.0077
Basic Average Shares,-,-,"107,900","106,338","104,719"
Diluted Average Shares,-,-,"114,800","115,954","116,367"
Total Operating Income as Reported,"2,429,900","2,209,800","2,534,400","2,079,591","1,330,741"
Total Expenses,"5,889,100","5,653,600","4,176,400","3,792,636","3,529,686"
Net Income from Continuing & Discontinued Operation,"2,279,300","2,115,800","2,444,400","1,198,511","895,522"
Normalized Income,"2,279,300","2,115,800","2,444,400","1,198,511","895,522"
Interest Expense,"28,600","30,200","28,200","25,119","7,195"
Net Interest Income,"-28,600","-30,200","-28,200","-25,119","-7,195"
EBIT,"2,580,200","2,459,300","2,581,700","2,103,630","1,337,010"
EBITDA,"2,795,600",-,-,-,-
Reconciled Cost of Revenue,"827,400","782,200","434,100","397,061","299,694"
Reconciled Depreciation,"215,400","210,300","148,200","145,467","104,745"
Net Income from Continuing Operation Net Minority Interest,"2,279,300","2,115,800","2,444,400","1,198,511","895,522"
Normalized EBITDA,"2,795,600","2,669,600","2,729,900","2,249,097","1,441,755"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
