Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"5,799,000","5,836,000","5,810,000","5,670,000","5,599,000"
Credit Losses Provision,"-663,000","-381,000","-227,000","-134,000","-279,000"
Non Interest Expense,"3,391,000","3,415,000","3,607,000","3,624,000","3,561,000"
Special Income Charges,-,"-55,000","-21,000","-41,000","-87,000"
Pretax Income,"1,690,000","1,985,000","1,955,000","1,871,000","1,672,000"
Tax Provision,"340,000","403,000","387,000","614,000","514,000"
Net Income Common Stockholders,"1,264,000","1,503,000","1,695,000","1,199,000","1,099,000"
Diluted NI Available to Com Stockholders,"1,264,000","1,503,000","1,695,000","1,199,000","1,099,000"
Basic EPS,-,0.0015,0.0016,0.001,0
Diluted EPS,-,0.0015,0.0015,0.001,0
Basic Average Shares,-,"995,000","1,092,000","1,186,000","1,255,000"
Diluted Average Shares,-,"999,000","1,102,000","1,198,000","1,261,000"
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,"3,105,000","3,407,000","3,564,000","3,481,000","3,222,000"
Net Income from Continuing & Discontinued Operation,"1,350,000","1,582,000","1,759,000","1,263,000","1,163,000"
Normalized Income,"1,350,000","1,625,835","1,584,842","1,284,552","1,218,291"
Reconciled Depreciation,"421,000","426,000","462,000","537,000","574,000"
Net Income from Continuing Operation Net Minority Interest,"1,350,000","1,582,000","1,568,000","1,257,000","1,158,000"
Total Unusual Items Excluding Goodwill,-,"-55,000","-21,000","-41,000","-87,000"
Total Unusual Items,-,"-55,000","-21,000","-41,000","-87,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"-11,165","-4,158","-13,448","-26,709"
