Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,"7,927,000","7,646,000","7,181,930","6,243,855","5,300,605"
Credit Losses Provision,"-108,000","-22,000","-20,481","-12,987","-28,167"
Non Interest Expense,"6,525,000","6,234,000","5,852,645","5,239,149","4,454,361"
Income from Associates & Other Participating Interests,-,-,-,-,"-42,342"
Special Income Charges,0,"-15,000","-3,927","-63,741","-40,706"
Pretax Income,"1,294,000","1,375,000","1,304,877","927,978","777,371"
Tax Provision,"333,000","341,000","453,960","289,111","271,293"
Net Income Common Stockholders,"958,000","1,032,000","855,232","634,859","528,094"
Average Dilution Earnings,-,-,30,26,20
Diluted NI Available to Com Stockholders,"958,000","1,032,000","855,262","634,885","528,114"
Basic EPS,-,0.0073,0.0059,0.0044,0.0037
Diluted EPS,-,0.0072,0.0058,0.0043,0.0037
Basic Average Shares,-,"141,000","145,271","143,275","141,773"
Diluted Average Shares,-,"144,000","148,838","146,647","144,513"
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,"886,000","976,000","822,009","635,361","495,081"
Net Income from Continuing & Discontinued Operation,"961,000","1,034,000","856,695","636,235","529,350"
Normalized Income,"961,000","1,045,280","859,255","680,089","556,257"
Reconciled Depreciation,"117,000","112,000","98,735","84,132","72,383"
Net Income from Continuing Operation Net Minority Interest,"961,000","1,034,000","856,695","636,235","529,350"
Total Unusual Items Excluding Goodwill,0,"-15,000","-3,927","-63,741","-40,706"
Total Unusual Items,0,"-15,000","-3,927","-63,741","-40,706"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"-3,720","-1,367","-19,887","-13,799"
