Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,"2,891,633","2,606,572","2,340,196","2,066,737","1,838,713"
Cost of Revenue,"1,178,274","1,069,987","978,032","864,992","772,216"
Gross Profit,"1,713,359","1,536,585","1,362,164","1,201,745","1,066,497"
Operating Expense,"955,871","900,599","801,901","745,013","630,631"
Operating Income,"757,488","635,986","560,263","456,732","435,866"
Net Non Operating Interest Income Expense,"-42,677","-33,857","-11,977","-11,151","5,654"
Other Income Expense,"-98,052","-83,282","-26,974","-26,838","-1,954"
Pretax Income,"616,759","518,847","521,312","418,743","439,566"
Tax Provision,"104,119","114,255","205,724","76,459","87,157"
Net Income Common Stockholders,"512,640","404,592","315,588","342,284","352,409"
Diluted NI Available to Com Stockholders,"512,640","404,592","315,588","342,284","352,409"
Basic EPS,-,0.0028,0.0022,0.0024,0.0025
Diluted EPS,-,0.0028,0.0022,0.0024,0.0025
Basic Average Shares,-,"143,111","142,764","141,360","140,242"
Diluted Average Shares,-,"144,484","143,987","142,453","141,669"
Total Operating Income as Reported,"707,488","579,263","541,831","425,798","428,952"
Total Expenses,"2,134,145","1,970,586","1,779,933","1,610,005","1,402,847"
Net Income from Continuing & Discontinued Operation,"512,640","404,592","315,588","342,284","352,409"
Normalized Income,"566,673","459,206","334,688","364,715","355,212"
Interest Income,"1,051","2,299","16,378","17,085","16,860"
Interest Expense,"43,728","36,156","28,355","28,236","11,206"
Net Interest Income,"-42,677","-33,857","-11,977","-11,151","5,654"
EBIT,"660,487","555,003","549,667","446,979","450,772"
EBITDA,"838,944",-,-,-,-
Reconciled Cost of Revenue,"1,072,221","994,130","904,455","799,413","709,290"
Reconciled Depreciation,"178,457","150,795","119,960","112,157","86,849"
Net Income from Continuing Operation Net Minority Interest,"512,640","404,592","315,588","342,284","352,409"
Total Unusual Items Excluding Goodwill,"-65,007","-70,018","-31,571","-27,455","-3,495"
Total Unusual Items,"-65,007","-70,018","-31,571","-27,455","-3,495"
Normalized EBITDA,"903,951","775,816","701,198","586,591","541,116"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-10,974","-15,404","-12,471","-5,024",-692.01
