Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,"6,761,100","6,694,800","6,666,000","6,311,300","5,879,500"
Cost of Revenue,"3,906,200","3,794,700","3,793,800","3,687,100","3,404,000"
Gross Profit,"2,854,900","2,900,100","2,872,200","2,624,200","2,475,500"
Operating Expense,"1,522,000","1,538,500","1,599,000","1,591,500","1,467,400"
Operating Income,"1,332,900","1,361,600","1,273,200","1,032,700","1,008,100"
Net Non Operating Interest Income Expense,"-94,600","-87,100","-48,600","-56,600","-58,600"
Other Income Expense,"-358,500","-373,500","106,200","61,300","-6,400"
Pretax Income,"879,800","901,000","1,330,800","1,037,400","943,100"
Tax Provision,"165,000","205,200","795,300","211,700","213,400"
Net Income Common Stockholders,"711,700","695,100","535,000","824,800","729,000"
Diluted NI Available to Com Stockholders,"711,700","695,100","535,000","824,800","729,000"
Basic EPS,-,0.006,0.0044,0.0064,0.0057
Diluted EPS,-,0.0058,0.0042,0.0064,0.0056
Basic Average Shares,-,"115,700","121,100","128,400","128,500"
Diluted Average Shares,-,"119,300","126,900","129,900","131,100"
Total Expenses,"5,428,200","5,333,200","5,392,800","5,278,600","4,871,400"
Net Income from Continuing & Discontinued Operation,"712,400","695,800","535,500","825,700","729,700"
Normalized Income,"978,724","980,282","469,800","777,303","729,700"
Interest Income,-,"11,100","24,400","19,600","12,700"
Interest Expense,"105,700","98,200","73,000","76,200","71,300"
Net Interest Income,"-94,600","-87,100","-48,600","-56,600","-58,600"
EBIT,"985,500","999,200","1,403,800","1,113,600","1,014,400"
EBITDA,"1,146,600",-,-,-,-
Reconciled Cost of Revenue,"3,906,200","3,794,700","3,793,800","3,687,100","3,404,000"
Reconciled Depreciation,"161,100","152,200","164,600","168,900","172,200"
Net Income from Continuing Operation Net Minority Interest,"712,400","695,800","535,500","825,700","729,700"
Total Unusual Items Excluding Goodwill,"-327,800","-368,500","90,000","60,800",-
Total Unusual Items,"-327,800","-368,500","90,000","60,800",-
Normalized EBITDA,"1,474,400","1,519,900","1,478,400","1,221,700","1,186,600"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-61,476","-84,018","24,300","12,403",0
