Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"5,430,300","5,366,800","5,191,200","4,607,471","3,789,925"
Cost of Revenue,"1,957,000","1,939,700","1,911,700","1,742,675","1,457,515"
Gross Profit,"3,473,300","3,427,100","3,279,500","2,864,796","2,332,410"
Operating Expense,"1,972,100","1,928,700","1,883,100","1,654,552","1,277,847"
Operating Income,"1,501,200","1,498,400","1,396,400","1,210,244","1,054,563"
Net Non Operating Interest Income Expense,"-188,300","-186,600","-182,100","-180,566","-111,559"
Other Income Expense,"799,900","915,600","-15,900","5,045","-2,352"
Pretax Income,"2,112,800","2,227,400","1,198,400","1,034,723","940,652"
Tax Provision,"474,200","459,500","254,000","62,951","282,007"
Net Income Common Stockholders,"1,638,600","1,767,900","944,400","971,772","658,645"
Diluted NI Available to Com Stockholders,"1,638,600","1,767,900","944,400","971,772","658,645"
Basic EPS,-,0.017,0.0092,0.0095,0.0065
Diluted EPS,-,0.0168,0.0091,0.0094,0.0064
Basic Average Shares,-,"103,900","103,200","102,168","101,291"
Diluted Average Shares,-,"105,100","104,400","103,522","102,464"
Total Operating Income as Reported,"1,501,200","1,498,400","1,396,400","1,210,244","1,054,563"
Total Expenses,"3,929,100","3,868,400","3,794,800","3,397,227","2,735,362"
Net Income from Continuing & Discontinued Operation,"1,638,600","1,767,900","944,400","971,772","658,645"
Normalized Income,"1,017,300","1,036,864","956,929","971,772","659,255"
Interest Expense,"188,300","186,600","182,100","180,566","111,559"
Net Interest Income,"-188,300","-186,600","-182,100","-180,566","-111,559"
EBIT,"2,301,100","2,414,000","1,380,500","1,215,289","1,052,211"
EBITDA,"2,737,100",-,-,-,-
Reconciled Cost of Revenue,"1,957,000","1,939,700","1,911,700","1,742,675","1,457,515"
Reconciled Depreciation,"436,000","416,000","367,000","344,965","240,453"
Net Income from Continuing Operation Net Minority Interest,"1,638,600","1,767,900","944,400","971,772","658,645"
Total Unusual Items Excluding Goodwill,"801,100","920,700","-15,900",0,-871
Total Unusual Items,"801,100","920,700","-15,900",0,-871
Normalized EBITDA,"1,936,000","1,909,300","1,763,400","1,560,254","1,293,535"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"179,800","189,664","-3,371",0,-261.3
