Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"10,382,700","10,299,400","10,040,900","10,041,500","9,387,700"
Cost of Revenue,"6,298,400","6,298,400","6,150,000","6,214,600","5,764,000"
Gross Profit,"4,001,000","4,001,000","3,890,900","3,826,900","3,623,700"
Operating Expense,"2,198,400","2,198,400","2,173,600","2,210,700","2,091,400"
Operating Income,"1,802,600","1,802,600","1,717,300","1,616,200","1,532,300"
Net Non Operating Interest Income Expense,"-385,600","-385,600","-382,200","-324,900","-324,600"
Other Income Expense,"-121,200","-121,200","-14,200","-9,200","-241,800"
Pretax Income,"1,295,800","1,295,800","1,320,900","1,282,100","965,900"
Tax Provision,"222,000","222,000","283,300","3,100","352,700"
Net Income Common Stockholders,"1,073,300","1,073,300","1,036,900","1,278,400","612,600"
Diluted NI Available to Com Stockholders,"1,073,300","1,073,300","1,036,900","1,278,400","612,600"
Basic EPS,-,-,0.0032,0.0038,0.0018
Diluted EPS,-,-,0.0032,0.0038,0.0018
Basic Average Shares,-,-,"326,900","337,100","343,000"
Diluted Average Shares,-,-,"328,400","339,000","344,400"
Total Operating Income as Reported,"1,787,200","1,787,200","1,735,800","1,668,500","1,537,500"
Total Expenses,"8,496,800","8,496,800","8,323,600","8,425,300","7,855,400"
Net Income from Continuing & Discontinued Operation,"1,073,300","1,073,300","1,036,900","1,278,400","612,600"
Normalized Income,"1,086,067","1,086,067","1,022,613","1,262,931","762,968"
Interest Income,"4,800","6,400","1,600","1,000",900
Interest Expense,"388,200","392,000","383,800","325,900","325,500"
Net Interest Income,"-385,600","-385,600","-382,200","-324,900","-324,600"
EBIT,"1,693,800","1,687,800","1,704,700","1,608,000","1,291,400"
EBITDA,"2,810,200",-,-,-,-
Reconciled Cost of Revenue,"6,216,500","6,216,500","6,069,300","6,134,800","5,684,900"
Reconciled Depreciation,"1,122,400","1,122,400","1,114,100","1,116,100","1,070,200"
Net Income from Continuing Operation Net Minority Interest,"1,073,300","1,073,300","1,036,900","1,278,400","612,600"
Total Unusual Items Excluding Goodwill,"-15,400","-15,400","18,200","15,500","-236,800"
Total Unusual Items,"-15,400","-15,400","18,200","15,500","-236,800"
Normalized EBITDA,"2,825,600","2,825,600","2,800,600","2,708,600","2,598,400"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-2,661","-2,633","3,913",31,"-86,432"
