Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"76,891,000","77,046,000","66,501,000","59,837,000","57,244,000"
Cost of Revenue,"56,766,000","57,065,000","49,985,000","43,953,000","41,460,000"
Gross Profit,"20,125,000","19,981,000","16,516,000","15,884,000","15,784,000"
Operating Expense,"11,397,000","11,015,000","7,963,000","7,212,000","7,612,000"
Operating Income,"8,728,000","8,966,000","8,553,000","8,672,000","8,172,000"
Net Non Operating Interest Income Expense,"-1,560,000","-1,611,000","-1,038,000","-909,000","-1,039,000"
Other Income Expense,"208,000","888,000","765,000",-,-
Pretax Income,"7,376,000","8,243,000","8,280,000","7,763,000","7,133,000"
Tax Provision,"2,839,000","2,295,000","2,626,000","2,843,000","1,697,000"
Net Income Common Stockholders,"4,108,000","5,537,000","5,269,000","4,552,000","5,055,000"
Diluted NI Available to Com Stockholders,"4,108,000","5,537,000","5,269,000","4,552,000","5,055,000"
Basic EPS,-,-,0.0066,0.0058,0.0062
Diluted EPS,-,-,0.0065,0.0057,0.0061
Basic Average Shares,-,-,"800,000","790,000","818,000"
Diluted Average Shares,-,-,"810,000","799,000","826,000"
Total Operating Income as Reported,"8,728,000","8,966,000","8,553,000","8,672,000","8,172,000"
Total Expenses,"68,163,000","68,080,000","57,948,000","51,165,000","49,072,000"
Net Income from Continuing & Discontinued Operation,"4,108,000","5,537,000","5,269,000","4,552,000","5,055,000"
Normalized Income,"4,108,000","5,537,000","5,269,000","4,552,000","5,065,000"
Interest Income,"163,000","162,000","187,000","108,000","122,000"
Interest Expense,"1,723,000","1,773,000","1,225,000","1,017,000","1,161,000"
Net Interest Income,"-1,560,000","-1,611,000","-1,038,000","-909,000","-1,039,000"
EBIT,"9,099,000","10,016,000","9,505,000","8,780,000","8,294,000"
EBITDA,"12,920,000",-,-,-,-
Reconciled Cost of Revenue,"56,766,000","57,065,000","49,985,000","43,953,000","41,460,000"
Reconciled Depreciation,"3,821,000","3,783,000","2,433,000","2,140,000","1,962,000"
Net Income from Continuing Operation Net Minority Interest,"4,108,000","5,537,000","5,269,000","4,552,000","5,065,000"
Normalized EBITDA,"12,920,000","13,799,000","11,938,000","10,920,000","10,256,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
