Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,"26,662,700","26,508,600","24,719,500","22,386,800","21,315,900"
Cost of Revenue,"19,468,900","19,020,500","17,367,700","15,531,500","14,575,400"
Gross Profit,"7,193,800","7,488,100","7,351,800","6,855,300","6,740,500"
Operating Expense,"3,536,700","3,572,400","3,545,300","2,958,500","2,886,800"
Operating Income,"3,657,100","3,915,700","3,806,500","3,896,800","3,853,700"
Net Non Operating Interest Income Expense,"-298,600","-234,500","21,100","182,800","26,700"
Other Income Expense,"856,400","785,000","1,952,400","237,900","318,200"
Pretax Income,"4,214,900","4,466,200","5,780,000","4,317,500","4,198,600"
Tax Provision,"829,200","871,600","1,262,000","1,432,600","1,379,700"
Net Income Common Stockholders,"3,389,700","3,599,200","4,518,300","2,884,700","2,817,700"
Diluted NI Available to Com Stockholders,"3,389,700","3,599,200","4,518,300","2,884,700","2,817,700"
Basic EPS,-,0.003,0.0035,0.002,0.0019
Diluted EPS,-,0.0029,0.0032,0.002,0.0019
Basic Average Shares,-,"1,184,600","1,309,100","1,431,600","1,460,500"
Diluted Average Shares,-,"1,233,200","1,394,600","1,461,500","1,486,700"
Total Operating Income as Reported,"3,911,700","4,077,900","3,883,300","4,134,700","4,171,900"
Total Expenses,"23,005,600","22,592,900","20,913,000","18,490,000","17,462,200"
Net Income from Continuing & Discontinued Operation,"3,389,700","3,599,200","4,518,300","2,884,700","2,817,700"
Normalized Income,"2,950,633","3,207,165","3,227,062","2,987,238","2,817,700"
Interest Income,"74,600","96,500","191,400","275,300","108,000"
Interest Expense,"373,200","331,000","170,300","92,500","81,300"
Net Interest Income,"-298,600","-234,500","21,100","182,800","26,700"
EBIT,"4,588,100","4,797,200","5,950,300","4,410,000","4,279,900"
EBITDA,"6,060,800",-,-,-,-
Reconciled Cost of Revenue,"19,391,300","18,948,500","17,308,800","15,475,800","14,526,100"
Reconciled Depreciation,"1,472,700","1,449,300","1,305,900","1,067,100","1,030,100"
Net Income from Continuing Operation Net Minority Interest,"3,389,700","3,599,200","4,518,300","2,884,700","2,817,700"
Total Unusual Items Excluding Goodwill,"546,600","487,000","1,651,200","-153,500",0
Total Unusual Items,"546,600","487,000","1,651,200","-153,500",0
Normalized EBITDA,"5,514,200","5,759,500","5,605,000","5,630,600","5,310,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"107,533","94,965","359,962","-50,962",0
