Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"18,006,600","17,900,800","17,534,493","14,983,788","11,855,602"
Cost of Revenue,"9,815,900","9,864,700","10,115,931","8,202,577","5,933,337"
Gross Profit,"8,190,700","8,036,100","7,418,562","6,781,211","5,922,265"
Operating Expense,"5,675,200","5,610,700","5,528,189","5,007,622","4,202,367"
Operating Income,"2,515,500","2,425,400","1,890,373","1,773,589","1,719,898"
Net Non Operating Interest Income Expense,"-329,200","-334,100","-371,106","-264,743","-157,795"
Other Income Expense,"-111,100","-109,500","-159,617","19,373","33,130"
Pretax Income,"2,075,200","1,981,800","1,359,650","1,528,219","1,595,233"
Tax Provision,"457,400","440,500","250,904","-285,583","462,530"
Net Income Common Stockholders,"1,617,800","1,541,300","1,108,746","1,772,262","1,132,703"
Diluted NI Available to Com Stockholders,"1,617,800","1,541,300","1,108,746","1,772,262","1,132,703"
Basic EPS,-,0.0168,0.0119,0.0191,0.0123
Diluted EPS,-,0.0165,0.0117,0.0187,0.012
Basic Average Shares,-,"91,804","92,992","92,909","91,839"
Diluted Average Shares,-,"93,447","94,988","94,927","94,488"
Total Expenses,"15,491,100","15,475,400","15,644,120","13,210,199","10,135,704"
Net Income from Continuing & Discontinued Operation,"1,617,800","1,541,300","1,108,746","1,772,262","1,132,703"
Normalized Income,"1,744,873","1,639,328","1,232,963","1,814,002","1,120,552"
Interest Income,"26,100","25,900","5,286","8,571","4,960"
Interest Expense,"344,500","349,300","366,734","263,471","154,088"
Net Interest Income,"-329,200","-334,100","-371,106","-264,743","-157,795"
EBIT,"2,419,700","2,331,100","1,726,384","1,791,690","1,749,321"
EBITDA,"2,995,700",-,-,-,-
Reconciled Cost of Revenue,"9,552,000","9,602,600","9,837,762","7,917,580","5,933,337"
Reconciled Depreciation,"576,000","574,900","596,281","491,761","197,711"
Net Income from Continuing Operation Net Minority Interest,"1,617,800","1,541,300","1,108,746","1,813,802","1,132,703"
Total Unusual Items Excluding Goodwill,"-163,000","-126,000","-152,414",-246,"17,114"
Total Unusual Items,"-163,000","-126,000","-152,414",-246,"17,114"
Normalized EBITDA,"3,158,700","3,032,000","2,475,079","2,283,697","1,929,918"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-35,927","-27,972","-28,197",-46.002,"4,963"
