Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"3,289,012","3,259,500","2,601,022","1,940,856","1,574,751"
Credit Losses Provision,"-321,345","-106,416","-87,870","-92,304","-106,679"
Non Interest Expense,"1,564,346","1,533,722","1,150,243","973,911","827,473"
Special Income Charges,-,"-8,960",-,-,-
Pretax Income,"1,394,361","1,610,402","1,362,909","874,641","640,599"
Tax Provision,"367,607","425,685","351,561","355,463","250,333"
Net Income Common Stockholders,"980,377","1,136,856","973,840","490,506","382,685"
Diluted NI Available to Com Stockholders,"980,377","1,136,856","973,840","490,506","382,685"
Basic EPS,-,0.0219,0.0184,0.0093,0.0074
Diluted EPS,-,0.0217,0.0181,0.0092,0.0073
Basic Average Shares,-,"51,915","53,078","52,588","51,915"
Diluted Average Shares,-,"52,311","53,771","53,306","52,349"
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,"1,786,507","1,990,185","1,806,118","1,328,065","1,043,844"
Net Income from Continuing & Discontinued Operation,"983,746","1,136,856","973,840","490,506","382,685"
Normalized Income,"983,746","1,143,379","973,840","490,506","382,685"
Total Money Market Investments,"94,848","96,440","35,208","21,505","10,070"
Reconciled Depreciation,"86,711","82,717","57,906","56,123","46,819"
Net Income from Continuing Operation Net Minority Interest,"983,746","1,136,856","973,840","490,506","382,685"
Total Unusual Items Excluding Goodwill,-,"-8,960",-,-,-
Total Unusual Items,-,"-8,960",-,-,-
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"-2,437",0,0,0
