Breakdown,ttm,10/31/2019,10/31/2018,10/31/2017,10/31/2016
Total Revenue,"3,399,759","3,360,694","3,121,058","2,724,880","2,422,532"
Cost of Revenue,"746,508","752,946","735,898","654,184","542,962"
Gross Profit,"2,653,251","2,607,748","2,385,160","2,070,696","1,879,570"
Operating Expense,"2,111,324","2,040,331","2,011,990","1,686,547","1,552,542"
Operating Income,"541,927","567,417","373,170","384,149","327,028"
Net Non Operating Interest Income Expense,-989,"-4,800","-10,284",-62,-56
Other Income Expense,"-66,665","-17,111",657,-989,"2,576"
Pretax Income,"474,273","545,506","363,543","383,098","329,548"
Tax Provision,-351,"13,139","-68,975","246,535","62,722"
Net Income Common Stockholders,"474,624","532,367","432,518","136,563","266,826"
Diluted NI Available to Com Stockholders,"474,624","532,367","432,518","136,563","266,826"
Basic EPS,-,0.0035,0.0029,0,0.0018
Diluted EPS,-,0.0035,0.0028,0,0.0017
Basic Average Shares,-,"149,872","149,036","150,457","152,017"
Diluted Average Shares,-,"154,190","153,393","154,874","154,721"
Total Operating Income as Reported,"470,726","520,231","360,225","347,563","317,395"
Total Expenses,"2,857,832","2,793,277","2,747,888","2,340,731","2,095,504"
Net Income from Continuing & Discontinued Operation,"474,624","532,367","432,518","136,563","266,826"
Normalized Income,"521,916","574,919","439,371","156,502","274,499"
Interest Income,"5,725","6,859","5,323","7,241","3,715"
Interest Expense,"6,714","11,659","15,607","7,303","3,771"
Net Interest Income,-989,"-4,800","-10,284",-62,-56
EBIT,"480,987","557,165","379,150","390,401","333,319"
EBITDA,"684,900",-,-,-,-
Reconciled Cost of Revenue,"582,400","592,561","568,321","496,356","363,437"
Reconciled Depreciation,"203,913","201,676","209,207","189,442","207,032"
Net Income from Continuing Operation Net Minority Interest,"474,624","532,367","432,518","136,563","266,826"
Total Unusual Items Excluding Goodwill,"-64,783","-43,598","-9,388","-33,232","-9,477"
Total Unusual Items,"-64,783","-43,598","-9,388","-33,232","-9,477"
Normalized EBITDA,"749,683","802,439","597,745","613,075","549,828"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-17,491","-1,046","-2,535","-13,293","-1,804"
