Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"21,025,000","21,419,000","23,495,000","23,031,000","19,896,000"
Cost of Revenue,"11,261,000","11,792,000","13,842,000","12,858,000","11,224,000"
Gross Profit,"9,764,000","9,627,000","9,653,000","10,173,000","8,672,000"
Operating Expense,"4,399,000","4,292,000","5,543,000","7,622,000","4,043,000"
Operating Income,"5,365,000","5,335,000","4,110,000","2,551,000","4,629,000"
Net Non Operating Interest Income Expense,"-1,762,000","-1,736,000","-1,842,000","-1,694,000","-1,317,000"
Other Income Expense,"506,000","2,943,000","481,000","211,000","168,000"
Pretax Income,"4,109,000","6,542,000","2,749,000","1,068,000","3,480,000"
Tax Provision,"583,000","1,798,000","449,000","142,000","951,000"
Net Income Common Stockholders,"3,523,000","4,739,000","2,226,000","842,000","2,448,000"
Diluted NI Available to Com Stockholders,"3,523,000","4,739,000","2,226,000","842,000","2,448,000"
Basic EPS,-,-,0.0022,0,0.0025
Diluted EPS,-,-,0.0022,0,0.0025
Basic Average Shares,-,-,"1,033,788","1,007,603","990,200"
Diluted Average Shares,-,-,"1,033,788","1,007,603","990,200"
Total Operating Income as Reported,"5,308,000","7,736,000","4,191,000","2,551,000","4,629,000"
Total Expenses,"15,660,000","16,084,000","19,385,000","20,480,000","15,267,000"
Interest Expense,"1,762,000","1,736,000","1,842,000","1,694,000","1,317,000"
Net Interest Income,"-1,762,000","-1,736,000","-1,842,000","-1,694,000","-1,317,000"
Net Income from Continuing & Discontinued Operation,"3,538,000","4,754,000","2,242,000","880,000","2,493,000"
Normalized Income,"3,475,358","2,920,069","2,058,770","741,273","2,346,146"
EBIT,"5,871,000","8,278,000","4,591,000","2,762,000","4,797,000"
EBITDA,"9,300,000",-,-,-,-
Reconciled Cost of Revenue,"10,976,000","11,499,000","13,424,000","12,411,000","10,803,000"
Reconciled Depreciation,"3,429,000","3,331,000","3,549,000","3,457,000","2,923,000"
Net Income from Continuing Operation Net Minority Interest,"3,538,000","4,754,000","2,242,000","880,000","2,493,000"
Total Unusual Items Excluding Goodwill,"73,000","2,529,000","219,000","160,000","202,000"
Total Unusual Items,"73,000","2,529,000","219,000","160,000","202,000"
Normalized EBITDA,"9,227,000","9,080,000","7,921,000","6,059,000","7,518,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"10,358","695,069","35,770","21,273","55,146"
