Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"6,914,000","6,699,000","6,258,000","6,063,000","5,661,000"
Cost of Revenue,"1,849,000","1,801,000","1,701,000","1,713,000","1,769,000"
Gross Profit,"5,065,000","4,898,000","4,557,000","4,350,000","3,892,000"
Operating Expense,"1,688,000","1,721,000","1,767,000","1,740,000","1,624,000"
Operating Income,"3,377,000","3,177,000","2,790,000","2,610,000","2,268,000"
Net Non Operating Interest Income Expense,"-196,000","-198,000","-134,000","-149,000","-181,000"
Other Income Expense,"60,000","-49,000","25,000",-,"1,101,000"
Pretax Income,"3,241,000","2,930,000","2,681,000","2,461,000","3,188,000"
Tax Provision,"702,000","627,000","560,000","823,000","960,000"
Net Income Common Stockholders,"2,352,000","2,123,000","1,958,000","1,496,000","2,106,000"
Diluted NI Available to Com Stockholders,"2,352,000","2,123,000","1,958,000","1,496,000","2,106,000"
Basic EPS,-,0.0087,0.0078,0.0058,0.008
Diluted EPS,-,0.0086,0.0077,0.0058,0.0079
Basic Average Shares,-,"245,400","250,900","256,300","262,800"
Diluted Average Shares,-,"246,900","253,200","258,900","265,200"
Total Operating Income as Reported,"3,433,000","3,226,000","2,790,000","2,610,000","3,369,000"
Total Expenses,"3,537,000","3,522,000","3,468,000","3,453,000","3,393,000"
Net Income from Continuing & Discontinued Operation,"2,352,000","2,123,000","1,958,000","1,496,000","2,106,000"
Normalized Income,"2,308,130","2,099,420","1,958,000","1,496,000","1,336,401"
Interest Expense,"196,000","198,000","134,000","149,000","181,000"
Net Interest Income,"-196,000","-198,000","-134,000","-149,000","-181,000"
EBIT,"3,437,000","3,128,000","2,815,000","2,610,000","3,369,000"
EBITDA,"3,638,000",-,-,-,-
Reconciled Cost of Revenue,"1,849,000","1,801,000","1,701,000","1,713,000","1,769,000"
Reconciled Depreciation,"201,000","204,000","206,000","180,000","181,000"
Net Income from Continuing Operation Net Minority Interest,"2,352,000","2,123,000","1,958,000","1,496,000","2,106,000"
Total Unusual Items Excluding Goodwill,"56,000","30,000",0,0,"1,101,000"
Total Unusual Items,"56,000","30,000",0,0,"1,101,000"
Normalized EBITDA,"3,582,000","3,302,000","3,021,000","2,790,000","2,449,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"12,130","6,420",0,0,"331,401"
