Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"5,655,715","5,755,189","5,657,919","5,538,640","5,435,229"
Cost of Revenue,"1,014,312","1,021,644","1,007,964","980,080","971,147"
Gross Profit,"4,641,403","4,733,545","4,649,955","4,558,560","4,464,082"
Operating Expense,"1,823,724","1,825,714","1,738,868","1,756,220","1,743,254"
Operating Income,"2,817,679","2,907,831","2,911,087","2,802,340","2,720,828"
Net Non Operating Interest Income Expense,"-778,247","-789,353","-815,923","-809,393","-857,554"
Other Income Expense,"271,382","334,764","764,077","275,299","301,110"
Pretax Income,"2,310,814","2,453,242","2,859,241","2,268,246","2,164,384"
Tax Provision,"14,169","30,054","36,898","23,343","29,678"
Net Income Common Stockholders,"1,987,377","2,098,247","2,436,721","1,944,625","1,835,559"
Diluted NI Available to Com Stockholders,"1,987,377","2,098,247","2,436,721","1,944,625","1,835,559"
Basic EPS,-,-,0.0079,0.0062,0.0059
Diluted EPS,-,-,0.0079,0.0062,0.0059
Basic Average Shares,-,-,"309,627","311,517","312,691"
Diluted Average Shares,-,-,"309,627","311,517","312,691"
Total Operating Income as Reported,"2,817,679","2,907,831","2,911,087","2,802,340","2,720,828"
Total Expenses,"2,838,036","2,847,358","2,746,832","2,736,300","2,714,401"
Net Income from Continuing & Discontinued Operation,"1,990,714","2,101,584","2,440,058","1,947,962","1,838,896"
Normalized Income,"2,122,887","2,209,827","2,154,958","2,071,647","1,890,404"
Interest Expense,"778,247","789,353","815,923","809,393","857,554"
Net Interest Income,"-778,247","-789,353","-815,923","-809,393","-857,554"
EBIT,"3,089,061","3,242,595","3,675,164","3,077,639","3,021,938"
EBITDA,"4,483,580",-,-,-,-
Reconciled Cost of Revenue,"959,915","967,975","940,642","898,181","895,874"
Reconciled Depreciation,"1,394,519","1,394,172","1,349,776","1,357,351","1,327,946"
Net Income from Continuing Operation Net Minority Interest,"1,990,714","2,101,584","2,440,058","1,947,962","1,838,896"
Total Unusual Items Excluding Goodwill,"-132,988","-109,585","288,827","-124,971","-52,224"
Total Unusual Items,"-132,988","-109,585","288,827","-124,971","-52,224"
Normalized EBITDA,"4,616,568","4,746,352","4,736,113","4,559,961","4,402,108"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,-815.43,"-1,342","3,727","-1,286",-716.0947
