Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"12,297,000","10,829,000","11,687,000","11,207,000","10,183,000"
Cost of Revenue,"7,419,000","6,137,000","7,273,000","6,951,000","6,824,000"
Gross Profit,"4,878,000","4,692,000","4,414,000","4,256,000","3,359,000"
Operating Expense,"2,097,000","2,065,000","2,021,000","1,926,000","1,738,000"
Operating Income,"2,781,000","2,627,000","2,393,000","2,330,000","1,621,000"
Net Non Operating Interest Income Expense,"-955,000","-976,000","-819,000","-610,000","-523,000"
Other Income Expense,"700,000","83,000","-528,000","-135,000","732,000"
Pretax Income,"2,526,000","1,734,000","1,046,000","1,585,000","1,830,000"
Tax Provision,"467,000","315,000","96,000","1,276,000","389,000"
Earnings from Equity Interest Net of Tax,"612,000","580,000","176,000","42,000","78,000"
Net Income Common Stockholders,"2,472,000","2,055,000","924,000","256,000","1,370,000"
Diluted NI Available to Com Stockholders,"2,472,000","2,055,000","924,000","256,000","1,370,000"
Basic EPS,-,0.0074,0.0035,0.001,0.0055
Diluted EPS,-,0.0073,0.0034,0.001,0.0055
Basic Average Shares,-,"277,904","268,072","251,545","250,217"
Diluted Average Shares,-,"282,033","269,852","252,300","251,155"
Total Expenses,"9,516,000","8,202,000","9,294,000","8,877,000","8,562,000"
Interest Income,"111,000","101,000","106,000","49,000","30,000"
Interest Expense,"1,066,000","1,077,000","925,000","659,000","553,000"
Net Interest Income,"-955,000","-976,000","-819,000","-610,000","-523,000"
Net Income from Continuing & Discontinued Operation,"2,616,000","2,198,000","1,050,000","257,000","1,371,000"
Normalized Income,"1,826,835","1,702,980","1,502,294","399,200","1,316,490"
EBIT,"3,592,000","2,811,000","1,971,000","2,244,000","2,383,000"
EBITDA,"5,200,000",-,-,-,-
Reconciled Cost of Revenue,"7,419,000","6,137,000","7,273,000","6,951,000","6,824,000"
Reconciled Depreciation,"1,608,000","1,569,000","1,549,000","1,490,000","1,312,000"
Net Income from Continuing Operation Net Minority Interest,"2,461,000","1,835,000","1,050,000","257,000","1,371,000"
Total Unusual Items Excluding Goodwill,"778,000","161,000","-498,000","-237,000","69,000"
Total Unusual Items,"778,000","161,000","-498,000","-237,000","69,000"
Normalized EBITDA,"4,422,000","4,219,000","4,018,000","3,971,000","3,626,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"143,835","28,980","-45,706","-94,800","14,490"
