Breakdown,ttm,3/31/2020,3/31/2019,3/31/2018,3/31/2017
Total Revenue,"3,030,895","3,030,895","2,782,170","2,619,996","2,612,756"
Cost of Revenue,"1,710,972","1,710,972","1,606,743","1,525,773","1,587,124"
Gross Profit,"1,319,923","1,319,923","1,175,427","1,094,223","1,025,632"
Operating Expense,"782,277","782,277","732,975","690,666","739,466"
Operating Income,"537,646","537,646","442,452","403,557","286,166"
Net Non Operating Interest Income Expense,-,-,"-41,995","-48,472","-42,949"
Other Income Expense,"-38,965","-38,965","-30,987",-103,"-58,571"
Pretax Income,"498,681","498,681","369,470","354,982","184,646"
Tax Provision,"90,876","90,876","64,394","63,360","74,015"
Net Income Common Stockholders,"268,904","407,605","304,051","290,915","109,965"
Diluted NI Available to Com Stockholders,"407,605","407,605","304,051","290,915","109,965"
Basic EPS,-,0.0048,0.0036,0.0034,0.0013
Diluted EPS,-,0.0048,0.0036,0.0034,0.0013
Basic Average Shares,-,"84,778","84,577","85,028","85,473"
Diluted Average Shares,-,"85,641","85,468","85,713","86,094"
Total Operating Income as Reported,"386,868","536,973","411,465","403,454","227,595"
Total Expenses,"2,493,249","2,493,249","2,339,718","2,216,439","2,326,590"
Net Income from Continuing & Discontinued Operation,"407,605","407,605","304,051","290,915","109,965"
Normalized Income,"408,156","408,156","329,646","291,000","145,108"
Interest Income,-,-,"3,020","2,157","1,571"
Interest Expense,-,-,"45,015","50,629","44,520"
Net Interest Income,"-49,353",-,"-41,995","-48,472","-42,949"
EBIT,"537,646","537,646","414,485","405,611","229,166"
EBITDA,"537,646",-,-,-,-
Reconciled Cost of Revenue,"1,710,972","1,710,972","1,606,743","1,525,773","1,587,124"
Reconciled Depreciation,-,-,"225,921","178,332","188,142"
Net Income from Continuing Operation Net Minority Interest,"407,605","407,605","304,051","290,915","109,965"
Total Unusual Items Excluding Goodwill,-673,-673,"-30,987",-103,"-58,571"
Total Unusual Items,-673,-673,"-30,987",-103,"-58,571"
Normalized EBITDA,"538,319","538,319","671,393","584,046","475,879"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,-122.486,-122.486,"-5,392",-18.334,"-23,428"
