Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"10,748,000","10,625,000","10,957,000","10,226,000","9,283,000"
Credit Losses Provision,"-42,000","-10,000","-15,000","-2,000","-10,000"
Non Interest Expense,"7,725,000","7,775,000","7,912,000","7,074,000","6,894,000"
Special Income Charges,"-130,000","-128,000","-31,000","-251,000","-259,000"
Other Non Operating Income Expenses,-,"44,000",-,-,-
Pretax Income,"2,851,000","2,712,000","2,999,000","2,899,000","2,120,000"
Tax Provision,"483,000","470,000","400,000","722,000","-22,000"
Net Income Common Stockholders,"2,137,000","2,009,000","2,410,000","1,993,000","1,968,000"
Diluted NI Available to Com Stockholders,"2,137,000","2,009,000","2,410,000","1,993,000","1,968,000"
Basic EPS,-,0.0058,0.0065,0.0053,0.005
Diluted EPS,-,0.0058,0.0064,0.0052,0.005
Basic Average Shares,-,"369,911","371,983","374,793","391,485"
Diluted Average Shares,-,"373,666","376,476","380,213","396,090"
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,"2,515,000","2,556,000","2,656,000","2,302,000","2,074,000"
Net Income from Continuing & Discontinued Operation,"2,368,000","2,242,000","2,599,000","2,177,000","2,143,000"
Normalized Income,"2,475,976","2,347,856","2,625,877","2,365,501","2,399,410"
Total Money Market Investments,"709,000","780,000","722,000","444,000","272,000"
Reconciled Depreciation,"1,365,000","1,337,000","1,203,000","1,085,000","929,000"
Net Income from Continuing Operation Net Minority Interest,"2,368,000","2,242,000","2,599,000","2,177,000","2,143,000"
Total Unusual Items Excluding Goodwill,"-130,000","-128,000","-31,000","-251,000","-259,000"
Total Unusual Items,"-130,000","-128,000","-31,000","-251,000","-259,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-22,024","-22,144","-4,123","-62,499","-2,590"
