Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,"10,363,000","10,390,000","11,184,000","10,771,000","11,160,000"
Cost of Revenue,"7,564,000","7,458,000","7,820,000","7,597,000","8,545,000"
Gross Profit,"2,799,000","2,932,000","3,364,000","3,174,000","2,615,000"
Operating Expense,"1,478,000","1,467,000","1,641,000","1,942,000","1,995,000"
Operating Income,"1,321,000","1,465,000","1,723,000","1,232,000","620,000"
Net Non Operating Interest Income Expense,"-171,000","-140,000","-198,000","-210,000","-190,000"
Other Income Expense,"13,000","47,000","-107,000","-207,000","-156,000"
Pretax Income,"1,163,000","1,372,000","1,418,000","815,000","274,000"
Tax Provision,"-658,000","-640,000","236,000","43,000","26,000"
Net Income Common Stockholders,"1,821,000","2,012,000","1,182,000","772,000","248,000"
Diluted NI Available to Com Stockholders,"1,821,000","2,012,000","1,182,000","772,000","248,000"
Basic EPS,-,0.0071,0.0041,0.0026,0
Diluted EPS,-,0.0071,0.0041,0.0026,0
Basic Average Shares,-,"282,000","288,000","296,000","299,000"
Diluted Average Shares,-,"285,000","292,000","299,000","302,000"
Total Operating Income as Reported,"1,365,000","1,487,000","1,634,000","1,054,000","445,000"
Total Expenses,"9,042,000","8,925,000","9,461,000","9,539,000","10,540,000"
Net Income from Continuing & Discontinued Operation,"1,821,000","2,012,000","1,182,000","772,000","248,000"
Normalized Income,"1,794,600","1,993,740","1,256,188","940,609","406,394"
Interest Income,"36,000","84,000","38,000","12,000","3,000"
Interest Expense,"207,000","224,000","236,000","222,000","193,000"
Net Interest Income,"-171,000","-140,000","-198,000","-210,000","-190,000"
EBIT,"1,370,000","1,596,000","1,654,000","1,037,000","467,000"
EBITDA,"1,783,000",-,-,-,-
Reconciled Cost of Revenue,"7,168,000","6,940,000","7,275,000","6,952,000","7,853,000"
Reconciled Depreciation,"413,000","541,000","598,000","749,000","815,000"
Net Income from Continuing Operation Net Minority Interest,"1,821,000","2,012,000","1,182,000","772,000","248,000"
Total Unusual Items Excluding Goodwill,"44,000","22,000","-89,000","-178,000","-175,000"
Total Unusual Items,"44,000","22,000","-89,000","-178,000","-175,000"
Normalized EBITDA,"1,739,000","2,115,000","2,341,000","1,964,000","1,457,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"17,600","3,740","-14,812","-9,391","-16,606"
