Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,"3,256,600","3,376,800","3,868,000","3,651,400","3,289,000"
Cost of Revenue,"1,718,300","1,773,000","1,917,300","1,809,600","1,623,800"
Gross Profit,"1,538,300","1,603,800","1,950,700","1,841,800","1,665,200"
Operating Expense,"660,600","645,000","630,600","587,400","541,700"
Operating Income,"877,700","958,800","1,320,100","1,254,400","1,123,500"
Other Income Expense,-100,"2,200","12,000","2,600","77,100"
Pretax Income,"877,600","961,000","1,332,100","1,257,000","1,200,600"
Tax Provision,"84,700","107,400","413,700","246,800","205,400"
Net Income Common Stockholders,"792,900","853,600","918,400","1,010,200","995,200"
Diluted NI Available to Com Stockholders,"792,900","853,600","918,400","1,010,200","995,200"
Basic EPS,-,0.0049,0.0051,0.0055,0.0053
Diluted EPS,-,0.0049,0.005,0.0054,0.0052
Basic Average Shares,-,"173,500","181,300","184,300","188,700"
Diluted Average Shares,-,"174,500","183,200","186,700","192,100"
Total Operating Income as Reported,"870,300","952,000","1,319,300","1,253,800","1,118,700"
Total Expenses,"2,378,900","2,418,000","2,547,900","2,397,000","2,165,500"
Net Income from Continuing & Discontinued Operation,"792,900","853,600","918,400","1,010,200","995,200"
Normalized Income,"799,586","859,638","918,951","1,010,682","925,813"
EBIT,"877,700","958,800","1,320,100","1,254,400","1,123,500"
EBITDA,"1,247,300",-,-,-,-
Reconciled Cost of Revenue,"1,364,500","1,424,000","1,636,400","1,582,400","1,409,400"
Reconciled Depreciation,"369,600","371,600","299,200","254,800","247,800"
Net Income from Continuing Operation Net Minority Interest,"792,900","853,600","918,400","1,010,200","995,200"
Total Unusual Items Excluding Goodwill,"-7,400","-6,800",-800,-600,"83,700"
Total Unusual Items,"-7,400","-6,800",-800,-600,"83,700"
Normalized EBITDA,"1,254,700","1,337,200","1,620,100","1,509,800","1,287,600"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,-714.1978,-761.6,-248.8,-117.6,"14,313"
