Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"14,238,000","14,442,200","13,982,400","12,747,200","11,406,900"
Cost of Revenue,"9,515,000","9,636,700","9,131,300","7,969,200","7,139,700"
Gross Profit,"4,723,000","4,805,500","4,851,100","4,778,000","4,267,200"
Operating Expense,"3,010,600","3,041,000","3,171,700","2,980,100","2,623,900"
Operating Income,"1,712,400","1,764,500","1,679,400","1,797,900","1,643,300"
Net Non Operating Interest Income Expense,"-222,200","-230,400","-209,200","-182,500","-171,300"
Other Income Expense,"-408,800","-404,100","-448,100","-89,300","-245,900"
Pretax Income,"1,081,400","1,130,000","1,022,100","1,526,100","1,226,100"
Tax Provision,"149,000","160,800","416,300","300,500","261,200"
Earnings from Equity Interest Net of Tax,"-11,700","-11,200",-,-,-
Net Income Common Stockholders,"919,100","955,800","605,200","1,226,000","965,300"
Diluted NI Available to Com Stockholders,"919,100","955,800","605,200","1,226,000","965,300"
Basic EPS,-,-,0.0043,0.0082,0.0066
Diluted EPS,-,-,0.0043,0.008,0.0065
Basic Average Shares,-,-,"148,919","149,629","146,041"
Diluted Average Shares,-,-,"151,643","152,449","148,207"
Total Operating Income as Reported,-,"1,360,400","1,282,100","1,708,600","1,397,400"
Total Expenses,"12,525,600","12,677,700","12,303,000","10,949,300","9,763,600"
Interest Income,"47,400","53,900","68,700","40,100","23,200"
Interest Expense,"269,600","284,300","277,900","222,600","194,500"
Net Interest Income,"-222,200","-230,400","-209,200","-182,500","-171,300"
Net Income from Continuing & Discontinued Operation,"919,100","955,800","605,200","1,226,000","965,300"
Normalized Income,"1,051,019","1,088,790","722,803","1,065,079","1,003,863"
EBIT,"1,351,000","1,414,300","1,300,000","1,748,700","1,420,600"
EBITDA,"1,914,500",-,-,-,-
Reconciled Cost of Revenue,"9,515,000","9,636,700","9,131,300","7,969,200","7,139,700"
Reconciled Depreciation,"563,500","560,200","506,500","460,700","408,000"
Net Income from Continuing Operation Net Minority Interest,"919,100","955,800","605,200","1,226,000","965,300"
Total Unusual Items Excluding Goodwill,"-153,000","-155,000","-161,100","200,400","-49,000"
Total Unusual Items,"-153,000","-155,000","-161,100","200,400","-49,000"
Normalized EBITDA,"2,067,500","2,129,500","1,967,600","2,009,000","1,877,600"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-21,081","-22,010","-43,497","39,479","-10,437"
