Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"16,839,000","17,170,000","16,383,000","15,304,000","13,874,000"
Credit Losses Provision,"-4,998,000","-4,180,000","-5,545,000","-5,296,000","-3,986,000"
Non Interest Expense,"4,204,000","4,245,000","4,095,000","3,747,000","3,416,000"
Other Non Operating Income Expenses,"-3,830,000","-3,858,000","-3,099,000","-2,937,000","-2,902,000"
Pretax Income,"3,807,000","4,887,000","3,644,000","3,324,000","3,570,000"
Tax Provision,"881,000","1,140,000","854,000","1,389,000","1,319,000"
Net Income Common Stockholders,"2,915,000","3,747,000","2,790,000","1,935,000","2,251,000"
Diluted NI Available to Com Stockholders,"2,915,000","3,747,000","2,790,000","1,935,000","2,251,000"
Basic EPS,-,0.0056,0.0038,0.0024,0.0027
Diluted EPS,-,0.0056,0.0037,0.0024,0.0027
Basic Average Shares,-,"670,200","742,300","795,600","829,200"
Diluted Average Shares,-,"673,500","746,900","799,700","831,500"
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,"11,465,000","12,619,000","10,573,000","9,720,000","9,544,000"
Net Income from Continuing & Discontinued Operation,"2,926,000","3,747,000","2,790,000","1,935,000","2,251,000"
Normalized Income,"2,926,000","3,747,000","2,790,000","1,935,000","2,251,000"
Reconciled Depreciation,"376,000","367,000","302,000","254,000","219,000"
Net Income from Continuing Operation Net Minority Interest,"2,926,000","3,747,000","2,790,000","1,935,000","2,251,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
