Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"14,956,000","14,884,000","13,601,000","12,444,000","11,325,000"
Cost of Revenue,"5,212,000","5,188,000","4,663,000","4,271,000","3,830,000"
Gross Profit,"9,744,000","9,696,000","8,938,000","8,173,000","7,495,000"
Operating Expense,"6,751,000","6,791,000","6,378,000","5,710,000","5,171,000"
Operating Income,"2,993,000","2,905,000","2,560,000","2,463,000","2,324,000"
Other Income Expense,"-321,000","-343,000","-204,000","-400,000","-403,000"
Pretax Income,"2,672,000","2,562,000","2,356,000","2,063,000","1,921,000"
Tax Provision,"508,000","479,000","-1,197,000","1,043,000","274,000"
Net Income Common Stockholders,"2,164,000","2,083,000","3,553,000","1,020,000","1,647,000"
Diluted NI Available to Com Stockholders,"2,164,000","2,083,000","3,553,000","1,020,000","1,647,000"
Basic EPS,-,-,0.0095,0.0027,0.0044
Diluted EPS,-,-,0.0093,0.0027,0.0044
Basic Average Shares,-,-,"374,100","374,000","374,100"
Diluted Average Shares,-,-,"380,300","380,100","378,500"
Total Operating Income as Reported,"2,820,000","2,713,000","2,537,000","2,290,000","2,166,000"
Total Expenses,"11,963,000","11,979,000","11,041,000","9,981,000","9,001,000"
Net Income from Continuing & Discontinued Operation,"2,164,000","2,083,000","3,553,000","1,020,000","1,647,000"
Normalized Income,"2,304,109","2,239,096","3,569,790","1,123,800","1,782,406"
EBIT,"2,993,000","2,905,000","2,560,000","2,463,000","2,324,000"
EBITDA,"3,779,000",-,-,-,-
Reconciled Cost of Revenue,"4,894,000","4,874,000","4,357,000","4,000,000","3,603,000"
Reconciled Depreciation,"786,000","778,000","723,000","642,000","546,000"
Net Income from Continuing Operation Net Minority Interest,"2,164,000","2,083,000","3,553,000","1,020,000","1,647,000"
Total Unusual Items Excluding Goodwill,"-173,000","-192,000","-23,000","-173,000","-158,000"
Total Unusual Items,"-173,000","-192,000","-23,000","-173,000","-158,000"
Normalized EBITDA,"3,952,000","3,875,000","3,306,000","3,278,000","3,028,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-32,891","-35,904","-6,210","-69,200","-22,594"
