Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,"60,460,983","60,113,922","58,727,324","55,371,139","50,366,919"
Cost of Revenue,"48,186,407","48,704,935","47,641,933","44,813,632","41,326,447"
Gross Profit,"11,505,259","11,408,987","11,085,391","10,557,507","9,040,472"
Operating Expense,"9,034,333","9,078,837","8,756,417","8,504,336","7,189,972"
Operating Income,"2,470,926","2,330,150","2,328,974","2,053,171","1,850,500"
Net Non Operating Interest Income Expense,"-344,391","-360,423","-395,483","-302,878","-306,146"
Other Income Expense,"44,053","36,109","22,733","15,937","-111,347"
Pretax Income,"2,171,668","2,005,836","1,956,224","1,766,230","1,433,007"
Tax Provision,"358,628","331,565","525,458","623,727","483,385"
Net Income Common Stockholders,"1,369,660","1,674,271","1,430,766","1,142,503","949,622"
Diluted NI Available to Com Stockholders,"1,369,660","1,674,271","1,430,766","1,142,503","949,622"
Basic EPS,-,0.0032,0.0027,0.0021,0.0017
Diluted EPS,-,0.0032,0.0027,0.0021,0.0016
Basic Average Shares,-,"516,891","522,927","543,497","573,057"
Diluted Average Shares,-,"523,381","529,090","548,545","577,391"
Total Operating Income as Reported,"2,470,926","2,330,150","2,328,974","2,053,171","1,850,500"
Total Expenses,"57,990,057","57,783,772","56,398,350","53,317,968","48,516,419"
Net Income from Continuing & Discontinued Operation,"1,369,660","1,674,271","1,430,766","1,142,503","949,622"
Normalized Income,"1,813,040","1,674,271","1,430,766","1,142,503","949,622"
Interest Expense,"344,391","360,423","395,483","302,878","306,146"
Net Interest Income,"-344,391","-360,423","-395,483","-302,878","-306,146"
EBIT,"2,045,668","2,366,259","2,351,707","2,069,108","1,739,153"
EBITDA,"3,313,441",-,-,-,-
Reconciled Cost of Revenue,"48,955,724","48,704,935","47,641,933","44,813,632","41,326,447"
Reconciled Depreciation,"797,382","763,935","765,498","901,992","662,710"
Net Income from Continuing Operation Net Minority Interest,"1,813,040","1,674,271","1,430,766","1,142,503","949,622"
Normalized EBITDA,"3,313,441","3,130,194","3,117,205","2,971,100","2,401,863"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
