Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,"5,970,203","5,223,203","3,811,126","3,504,286","3,171,411"
Cost of Revenue,"2,648,900","2,413,900","1,633,600","1,519,700","1,443,300"
Gross Profit,"3,046,271","2,809,271","2,177,510","1,984,627","1,728,063"
Operating Expense,"904,852","804,852","514,954","498,326","434,345"
Operating Income,"2,141,419","2,004,419","1,662,556","1,486,301","1,293,718"
Net Non Operating Interest Income Expense,"-960,766","-862,766","-669,404","-642,396","-499,644"
Other Income Expense,"-75,715","-79,715","-7,600","-6,500","-26,000"
Pretax Income,"1,105,865","1,062,865","985,557","837,430","768,116"
Tax Provision,"226,986","221,986","24,021","208,889","181,702"
Net Income Common Stockholders,"725,749","778,749","900,914","437,630","583,414"
Diluted NI Available to Com Stockholders,"725,749","778,749","900,914","437,630","583,414"
Basic EPS,-,0.0138,0.0162,0.0079,0.0104
Diluted EPS,-,0.0138,0.0162,0.0079,0.0104
Basic Average Shares,-,"56,265","55,597","55,530","56,157"
Diluted Average Shares,-,"56,265","55,597","55,530","56,157"
Total Operating Income as Reported,"2,064,546","1,926,546","1,654,961","1,479,826","1,267,760"
Total Expenses,"3,553,752","3,218,752","2,148,554","2,018,026","1,877,645"
Net Income from Continuing & Discontinued Operation,"997,770","889,770","957,062","596,887","586,414"
Normalized Income,"938,169","901,669","968,954","633,423","606,252"
Interest Expense,"986,753","859,753","663,008","602,589","483,850"
Net Interest Income,"-960,766","-862,766","-669,404","-642,396","-499,644"
EBIT,"2,141,419","1,922,618","1,648,565","1,440,019","1,251,966"
EBITDA,"2,401,119",-,-,-,-
Reconciled Cost of Revenue,"2,544,152","2,323,152","1,576,210","1,467,901","1,399,075"
Reconciled Depreciation,"259,700","225,700","129,844","141,025","121,670"
Net Income from Continuing Operation Net Minority Interest,"876,338","839,338","961,536","628,541","586,414"
Total Unusual Items Excluding Goodwill,"-77,800","-78,800","-7,600","-6,500","-26,000"
Total Unusual Items,"-77,800","-78,800","-7,600","-6,500","-26,000"
Normalized EBITDA,"2,478,919","2,227,118","1,786,009","1,587,544","1,399,636"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-15,969","-16,469",-182.4,"-1,618","-6,162"
