Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,"13,052,000","13,448,000","13,988,000","13,113,000","12,238,000"
Cost of Revenue,"8,831,000","9,054,000","9,243,000","8,663,000","8,205,000"
Gross Profit,"4,221,000","4,394,000","4,745,000","4,450,000","4,033,000"
Operating Expense,"2,083,000","2,134,000","2,274,000","2,249,000","2,107,000"
Operating Income,"2,138,000","2,260,000","2,471,000","2,201,000","1,926,000"
Net Non Operating Interest Income Expense,"-28,000","-49,000","-92,000","-110,000","-108,000"
Other Income Expense,"-1,100,000","-280,000","-139,000","-163,000","-656,000"
Pretax Income,"1,010,000","1,931,000","2,240,000","1,928,000","1,162,000"
Tax Provision,"305,000","-15,000","-344,000","255,000","-779,000"
Net Income Common Stockholders,"699,000","1,844,000","2,565,000","1,683,000","2,009,000"
Diluted NI Available to Com Stockholders,"699,000","1,844,000","2,565,000","1,683,000","2,009,000"
Basic EPS,-,0.0055,0.0073,0.0047,0.0055
Diluted EPS,-,0.0054,0.0073,0.0047,0.0054
Basic Average Shares,-,"338,000","350,000","355,000","366,000"
Diluted Average Shares,-,"340,000","353,000","358,000","369,000"
Total Operating Income as Reported,"1,020,000","1,978,000","2,331,000","2,047,000","1,902,000"
Total Expenses,"10,914,000","11,188,000","11,517,000","10,912,000","10,312,000"
Net Income from Continuing & Discontinued Operation,"699,000","1,844,000","2,565,000","1,683,000","2,009,000"
Normalized Income,"1,485,386","2,151,860","2,686,200","1,806,672","1,955,400"
Interest Income,"21,000","19,000","15,000","20,000","19,000"
Interest Expense,"49,000","68,000","107,000","130,000","127,000"
Net Interest Income,"-28,000","-49,000","-92,000","-110,000","-108,000"
EBIT,"1,059,000","1,999,000","2,347,000","2,058,000","1,289,000"
EBITDA,"1,762,000",-,-,-,-
Reconciled Cost of Revenue,"8,831,000","9,054,000","9,243,000","8,663,000","8,205,000"
Reconciled Depreciation,"703,000","690,000","667,000","635,000","585,000"
Net Income from Continuing Operation Net Minority Interest,"705,000","1,946,000","2,584,000","1,673,000","1,941,000"
Total Unusual Items Excluding Goodwill,"-1,118,000","-282,000","-140,000","-154,000","-24,000"
Total Unusual Items,"-1,118,000","-282,000","-140,000","-154,000","-24,000"
Normalized EBITDA,"2,880,000","2,971,000","3,154,000","2,847,000","1,898,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-337,614","-76,140","-37,800","-20,328","-9,600"
