Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"2,612,420","2,595,362","2,448,383","2,146,303","1,868,027"
Cost of Revenue,"1,111,154","1,103,750","1,063,941","974,501","871,827"
Gross Profit,"1,501,266","1,491,612","1,384,442","1,171,802","996,200"
Operating Expense,"989,351","1,048,230","984,896","784,733","621,887"
Operating Income,"511,915","443,382","399,546","387,069","374,313"
Net Non Operating Interest Income Expense,"-71,036","-78,529","-102,076","-81,775","-54,467"
Other Income Expense,"-11,640","-24,950","-77,842","-20,383","-74,121"
Pretax Income,"429,239","339,903","219,628","284,911","245,725"
Tax Provision,"-121,976","-122,078","23,196","129,648","8,074"
Net Income Common Stockholders,"551,719","461,466","200,802","152,530","237,377"
Diluted NI Available to Com Stockholders,"551,719","461,466","200,802","152,530","237,377"
Basic EPS,-,-,0.0044,0.0034,0.0055
Diluted EPS,-,-,0.0043,0.0033,0.005
Basic Average Shares,-,-,"45,689","45,004","43,325"
Diluted Average Shares,-,-,"46,801","46,664","47,646"
Total Operating Income as Reported,"509,097","427,254","321,704","372,279","319,453"
Total Expenses,"2,100,505","2,151,980","2,048,837","1,759,234","1,493,714"
Net Income from Continuing & Discontinued Operation,"551,719","461,466","200,802","152,530","237,377"
Normalized Income,"558,199","480,195","266,023","167,493","308,862"
Interest Income,"1,981","1,741",944,771,474
Interest Expense,"73,017","80,270","103,020","82,546","54,941"
Net Interest Income,"-71,036","-78,529","-102,076","-81,775","-54,467"
EBIT,"502,256","420,173","322,648","367,457","300,666"
EBITDA,"718,675",-,-,-,-
Reconciled Cost of Revenue,"1,111,154","1,103,750","1,063,941","974,501","871,827"
Reconciled Depreciation,"216,419","214,062","209,980","155,263","117,906"
Net Income from Continuing Operation Net Minority Interest,"551,215","461,981","196,432","155,263","237,187"
Total Unusual Items Excluding Goodwill,"-11,640","-24,950","-77,842","-20,383","-74,121"
Total Unusual Items,"-11,640","-24,950","-77,842","-20,383","-74,121"
Normalized EBITDA,"730,315","659,185","610,470","543,103","492,693"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-4,656","-6,736","-8,251","-8,153","-2,446"
