Breakdown,ttm,1/31/2020,1/31/2019,1/31/2018,1/31/2017
Total Revenue,"80,100,000","78,112,000","75,356,000","71,879,000","69,495,000"
Cost of Revenue,"57,126,000","54,864,000","53,299,000","51,125,000","48,872,000"
Gross Profit,"22,974,000","23,248,000","22,057,000","20,754,000","20,623,000"
Operating Expense,"18,983,000","18,590,000","17,947,000","16,442,000","15,654,000"
Operating Income,"3,991,000","4,658,000","4,110,000","4,312,000","4,969,000"
Net Non Operating Interest Income Expense,"-468,000","-477,000","-461,000","-666,000","-1,004,000"
Other Income Expense,"-25,000","9,000","27,000","59,000",-
Pretax Income,"3,498,000","4,190,000","3,676,000","3,646,000","3,965,000"
Tax Provision,"737,000","921,000","746,000","718,000","1,296,000"
Net Income Common Stockholders,"2,770,000","3,281,000","2,937,000","2,934,000","2,737,000"
Diluted NI Available to Com Stockholders,"2,770,000","3,281,000","2,937,000","2,934,000","2,737,000"
Basic EPS,-,0.0064,0.0056,0.0053,0.0047
Diluted EPS,-,0.0064,0.0055,0.0053,0.0047
Basic Average Shares,-,"510,900","528,600","547,744","577,600"
Diluted Average Shares,-,"515,600","533,200","550,851","582,500"
Total Operating Income as Reported,"3,991,000","4,658,000","4,110,000","4,224,000",-
Total Expenses,"76,109,000","73,454,000","71,246,000","67,567,000","64,526,000"
Net Income from Continuing & Discontinued Operation,"2,770,000","3,281,000","2,937,000","2,934,000","2,737,000"
Normalized Income,"2,761,000","3,269,000","2,930,000","2,928,000","2,669,000"
Interest Expense,"468,000","477,000","461,000","666,000","1,004,000"
Net Interest Income,"-468,000","-477,000","-461,000","-666,000","-1,004,000"
EBIT,"3,966,000","4,667,000","4,137,000","4,312,000","4,969,000"
EBITDA,"6,567,000",-,-,-,-
Reconciled Cost of Revenue,"56,878,000","54,617,000","53,049,000","50,874,000","48,872,000"
Reconciled Depreciation,"2,601,000","2,604,000","2,474,000","2,445,000","2,298,000"
Net Income from Continuing Operation Net Minority Interest,"2,761,000","3,269,000","2,930,000","2,928,000","2,669,000"
Total Unusual Items Excluding Goodwill,-,-,-,0,0
Total Unusual Items,-,-,-,0,0
Normalized EBITDA,"6,567,000","7,271,000","6,611,000","6,757,000","7,267,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
