Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"45,031,000","44,998,000","43,310,000","40,604,000","37,242,000"
Cost of Revenue,"18,127,000","18,521,000","18,354,000","17,708,000","16,550,000"
Gross Profit,"26,904,000","26,477,000","24,956,000","22,896,000","20,692,000"
Operating Expense,"21,119,000","20,755,000","19,647,000","18,243,000","17,621,000"
Operating Income,"5,785,000","5,722,000","5,309,000","4,653,000","3,071,000"
Net Non Operating Interest Income Expense,"-1,103,000","-1,111,000","-1,338,000","-1,654,000","-1,469,000"
Other Income Expense,"-25,000","-8,000","-54,000","162,000","725,000"
Pretax Income,"4,657,000","4,603,000","3,917,000","3,161,000","2,327,000"
Tax Provision,"1,146,000","1,135,000","1,029,000","-1,375,000","867,000"
Net Income Common Stockholders,"3,511,000","3,468,000","2,888,000","4,481,000","1,405,000"
Average Dilution Earnings,-,-,0,-,-
Diluted NI Available to Com Stockholders,"3,511,000","3,468,000","2,888,000","4,481,000","1,405,000"
Basic EPS,-,-,0.0034,0.0054,0.0017
Diluted EPS,-,-,0.0034,0.0052,0.0017
Basic Average Shares,-,-,"849,744","831,850","822,470"
Diluted Average Shares,-,-,"858,290","871,787","833,055"
Total Operating Income as Reported,"5,785,000","5,722,000","5,309,000","4,888,000","3,802,000"
Total Expenses,"39,246,000","39,276,000","38,001,000","35,951,000","34,171,000"
Net Income from Continuing & Discontinued Operation,"3,511,000","3,468,000","2,888,000","4,536,000","1,460,000"
Normalized Income,"3,511,000","3,468,000","2,888,000","4,395,000","1,001,663"
Interest Income,"28,000","24,000","19,000","17,000","261,000"
Interest Expense,"1,131,000","1,135,000","1,357,000","1,671,000","1,730,000"
Net Interest Income,"-1,103,000","-1,111,000","-1,338,000","-1,654,000","-1,469,000"
EBIT,"5,788,000","5,738,000","5,274,000","4,832,000","4,057,000"
EBITDA,"12,522,000",-,-,-,-
Reconciled Cost of Revenue,"18,127,000","18,521,000","18,354,000","17,708,000","16,550,000"
Reconciled Depreciation,"6,734,000","6,616,000","6,486,000","5,984,000","6,243,000"
Net Income from Continuing Operation Net Minority Interest,"3,511,000","3,468,000","2,888,000","4,536,000","1,460,000"
Total Unusual Items Excluding Goodwill,-,-,0,"235,000","731,000"
Total Unusual Items,-,-,0,"235,000","731,000"
Normalized EBITDA,"12,522,000","12,354,000","11,760,000","10,581,000","9,569,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,"94,000","272,663"
