Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"8,488,899","8,351,931","7,911,046","7,256,382","6,779,579"
Cost of Revenue,"5,570,864","5,480,161","5,208,518","4,764,417","4,454,377"
Gross Profit,"2,918,035","2,871,770","2,702,528","2,491,965","2,325,202"
Operating Expense,"2,165,685","2,128,550","2,000,791","1,805,583","1,631,122"
Operating Income,"752,350","743,220","701,737","686,382","694,080"
Net Non Operating Interest Income Expense,"-19,962","-19,843","-18,352","-13,859","-5,810"
Pretax Income,"732,388","723,377","683,385","672,523","688,270"
Tax Provision,"163,089","161,023","151,028","249,924","251,150"
Net Income Common Stockholders,"569,299","562,354","532,357","422,599","437,120"
Average Dilution Earnings,-,-,-,0,0
Diluted NI Available to Com Stockholders,"569,299","562,354","532,357","422,599","437,120"
Basic EPS,-,0.0047,0.0043,0.0033,0.0033
Diluted EPS,-,0.0047,0.0043,0.0033,0.0033
Basic Average Shares,-,"119,727","122,651","127,588","132,905"
Diluted Average Shares,-,"120,743","123,471","128,204","133,813"
Total Operating Income as Reported,"752,350","743,220","701,737","686,382","694,080"
Total Expenses,"7,736,549","7,608,711","7,209,309","6,570,000","6,085,499"
Net Income from Continuing & Discontinued Operation,"569,299","562,354","532,357","422,599","437,120"
Normalized Income,"569,299","562,354","532,357","422,599","437,120"
Interest Expense,"19,962","19,843","18,352","13,859","5,810"
Net Interest Income,"-19,962","-19,843","-18,352","-13,859","-5,810"
EBIT,"752,350","743,220","701,737","686,382","694,080"
EBITDA,"953,997",-,-,-,-
Reconciled Cost of Revenue,"5,570,864","5,480,161","5,208,518","4,764,417","4,454,377"
Reconciled Depreciation,"201,647","195,978","177,351","165,834","142,958"
Net Income from Continuing Operation Net Minority Interest,"569,299","562,354","532,357","422,599","437,120"
Normalized EBITDA,"953,997","939,198","879,088","852,216","837,038"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
