Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,"43,472,000","42,405,000","40,052,000","38,260,000","36,881,000"
Cost of Revenue,"38,536,000","37,383,000","34,926,000","33,177,000","32,184,000"
Gross Profit,"4,936,000","5,022,000","5,126,000","5,083,000","4,697,000"
Operating Expense,"2,224,000","2,195,000","2,071,000","2,152,000","1,864,000"
Operating Income,"2,712,000","2,827,000","3,055,000","2,931,000","2,833,000"
Net Non Operating Interest Income Expense,"-473,000","-451,000","-343,000","-272,000","-243,000"
Other Income Expense,"167,000","55,000","33,000","-31,000","8,000"
Pretax Income,"2,406,000","2,431,000","2,745,000","2,628,000","2,598,000"
Tax Provision,"425,000","396,000","-282,000","850,000","826,000"
Net Income Common Stockholders,"1,966,000","2,022,000","3,024,000","1,774,000","1,768,000"
Diluted NI Available to Com Stockholders,"1,966,000","2,022,000","3,024,000","1,774,000","1,768,000"
Basic EPS,-,0.0057,0.0084,0.0049,0.0047
Diluted EPS,-,0.0055,0.0082,0.0048,0.0045
Basic Average Shares,-,"363,000","365,000","366,000","385,000"
Diluted Average Shares,-,"366,000","369,000","370,000","390,000"
Total Operating Income as Reported,"2,712,000","2,827,000","3,055,000","2,931,000","2,833,000"
Total Expenses,"40,760,000","39,578,000","36,997,000","35,329,000","34,048,000"
Net Income from Continuing & Discontinued Operation,"1,966,000","2,022,000","3,024,000","1,774,000","1,768,000"
Normalized Income,"1,966,000","2,022,000","3,024,000","1,774,000","1,768,000"
Interest Income,"10,000","11,000","7,000","7,000","6,000"
Interest Expense,"483,000","462,000","350,000","279,000","249,000"
Net Interest Income,"-473,000","-451,000","-343,000","-272,000","-243,000"
EBIT,"2,889,000","2,893,000","3,095,000","2,907,000","2,847,000"
EBITDA,"4,045,000",-,-,-,-
Reconciled Cost of Revenue,"38,536,000","37,383,000","34,926,000","33,177,000","32,184,000"
Reconciled Depreciation,"1,156,000","1,098,000","943,000","761,000","705,000"
Net Income from Continuing Operation Net Minority Interest,"1,966,000","2,022,000","3,024,000","1,774,000","1,768,000"
Normalized EBITDA,"4,045,000","3,991,000","4,038,000","3,668,000","3,552,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
