Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"3,480,076","3,459,329","3,042,359","2,443,299","2,529,619"
Cost of Revenue,"1,157,067","1,137,041","964,997","861,242","932,240"
Gross Profit,"2,323,009","2,322,288","2,077,362","1,582,057","1,597,379"
Operating Expense,"2,057,737","1,955,915","1,624,037","1,543,317","1,964,587"
Operating Income,"265,272","366,373","453,325","38,740","-367,208"
Net Non Operating Interest Income Expense,"15,869","19,523","-21,385","-105,237","-74,668"
Other Income Expense,"-3,040","4,243","-8,396","-28,921","1,000"
Pretax Income,"278,101","390,139","423,544","-95,418","-440,834"
Tax Provision,"-988,358","-1,075,520","-782,052","12,645","16,039"
Net Income Common Stockholders,"1,266,459","1,465,659","1,205,596","-108,063","-456,873"
Diluted NI Available to Com Stockholders,"1,266,459","1,465,659","1,205,596","-108,063","-456,873"
Basic EPS,-,-,0.0016,0,0
Diluted EPS,-,-,0.0016,0,0
Basic Average Shares,-,-,"754,326","732,702","702,135"
Diluted Average Shares,-,-,"772,686","732,702","702,135"
Total Operating Income as Reported,"265,272","366,373","453,325","38,740","-367,208"
Total Expenses,"3,214,804","3,092,956","2,589,034","2,404,559","2,896,827"
Net Income from Continuing & Discontinued Operation,"1,266,459","1,465,659","1,205,596","-108,063","-456,873"
Normalized Income,"1,266,459","1,465,659","1,205,596","-108,063","-460,353"
Interest Income,"150,059","157,703","111,221",-,"25,300"
Interest Expense,"134,190","138,180","132,606","105,237","99,968"
Net Interest Income,"15,869","19,523","-21,385","-105,237","-74,668"
EBIT,"412,291","528,319","556,150","9,819","-340,866"
EBITDA,"885,015",-,-,-,-
Reconciled Cost of Revenue,"1,157,067","1,137,041","964,997","861,242","932,240"
Reconciled Depreciation,"472,724","465,549","425,498","395,867","402,172"
Net Income from Continuing Operation Net Minority Interest,"1,266,459","1,465,659","1,205,596","-108,063","-456,873"
Total Unusual Items Excluding Goodwill,-,-,-,-,"5,800"
Total Unusual Items,-,-,-,-,"5,800"
Normalized EBITDA,"885,015","993,868","981,648","405,686","55,506"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,"2,320"
