Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"14,118,000","14,383,000","15,784,000","14,961,000","13,370,000"
Cost of Revenue,"5,127,000","5,219,000","5,507,000","5,347,000","5,130,000"
Gross Profit,"8,991,000","9,164,000","10,277,000","9,614,000","8,240,000"
Operating Expense,"3,180,000","3,189,000","3,243,000","3,083,000","3,137,000"
Operating Income,"5,811,000","5,975,000","7,034,000","6,531,000","5,103,000"
Net Non Operating Interest Income Expense,"-177,000","-170,000","-125,000","-78,000","-58,000"
Other Income Expense,"-59,000","-77,000","-223,000","-373,000","-115,000"
Pretax Income,"5,575,000","5,728,000","6,686,000","6,080,000","4,930,000"
Tax Provision,"601,000","711,000","1,106,000","2,398,000","1,335,000"
Net Income Common Stockholders,"4,976,000","5,017,000","5,537,000","3,648,000","3,550,000"
Average Dilution Earnings,-,"-31,000","1,000","1,000","1,000"
Diluted NI Available to Com Stockholders,"4,945,000","4,986,000","5,538,000","3,649,000","3,551,000"
Basic EPS,-,0.0054,0.0058,0.0037,0.0036
Diluted EPS,-,0.0052,0.0056,0.0036,0.0035
Basic Average Shares,-,"936,000","970,000","991,000","995,984"
Diluted Average Shares,-,"952,000","990,000","1,012,000","1,021,000"
Total Operating Income as Reported,"5,588,000","5,723,000","6,713,000","6,083,000","4,799,000"
Total Expenses,"8,307,000","8,408,000","8,750,000","8,430,000","8,267,000"
Net Income from Continuing & Discontinued Operation,"4,974,000","5,017,000","5,580,000","3,682,000","3,595,000"
Normalized Income,"5,172,960","5,237,720","5,848,035","3,881,374","3,674,461"
Interest Income,-,-,-,-,"8,000"
Interest Expense,"177,000","170,000","125,000","78,000","80,000"
Net Interest Income,"-177,000","-170,000","-125,000","-78,000","-58,000"
EBIT,"5,752,000","5,898,000","6,811,000","6,158,000","5,010,000"
EBITDA,"6,794,000",-,-,-,-
Reconciled Cost of Revenue,"5,127,000","5,219,000","5,507,000","5,347,000","5,130,000"
Reconciled Depreciation,"1,042,000","1,050,000","954,000","904,000","955,000"
Net Income from Continuing Operation Net Minority Interest,"4,974,000","5,017,000","5,580,000","3,682,000","3,595,000"
Total Unusual Items Excluding Goodwill,"-223,000","-252,000","-321,000","-329,000","-109,000"
Total Unusual Items,"-223,000","-252,000","-321,000","-329,000","-109,000"
Normalized EBITDA,"7,017,000","7,200,000","8,086,000","7,391,000","6,074,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-24,040","-31,280","-52,965","-129,626","-29,539"
