Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"1,203,001","1,152,193","1,046,859","995,791","959,861"
Cost of Revenue,"380,445","362,556","331,455","312,874","301,459"
Gross Profit,"822,556","789,637","715,404","682,917","658,402"
Operating Expense,"618,596","573,388","494,762","494,088","483,048"
Operating Income,"203,960","216,249","220,642","188,829","175,354"
Net Non Operating Interest Income Expense,"-168,401","-155,513","-127,433","-126,740","-121,101"
Other Income Expense,"144,748","142,681","-7,176","26,922","51,502"
Pretax Income,"180,307","203,417","86,033","89,011","105,755"
Tax Provision,"1,790","3,838",688,-240,"-3,774"
Net Income Common Stockholders,"161,524","180,861","199,238","117,850","289,001"
Diluted NI Available to Com Stockholders,"161,524","180,861","199,238","117,850","289,001"
Basic EPS,-,-,0,0,0.0011
Diluted EPS,-,-,0,0,0.0011
Basic Average Shares,-,-,"268,179","267,024","265,386"
Diluted Average Shares,-,-,"269,483","268,830","267,311"
Total Operating Income as Reported,"207,517","221,057","354,718","184,494","174,622"
Total Expenses,"999,041","935,944","826,217","806,962","784,507"
Net Income from Continuing & Discontinued Operation,"165,683","184,965","66,909","78,154","81,867"
Normalized Income,"167,391","180,248","69,013","80,755","82,306"
Interest Income,"8,291","15,404","6,735","1,971","1,930"
Interest Expense,"176,692","170,917","134,168","128,711","123,031"
Net Interest Income,"-168,401","-155,513","-127,433","-126,740","-121,101"
EBIT,"356,999","374,334","220,201","217,722","228,786"
EBITDA,"908,299",-,-,-,-
Reconciled Cost of Revenue,"380,445","362,556","331,455","312,874","301,459"
Reconciled Depreciation,"551,300","507,923","435,679","436,462","425,638"
Net Income from Continuing Operation Net Minority Interest,"165,683","184,965","66,909","78,154","81,867"
Total Unusual Items Excluding Goodwill,"-1,725","4,808","-2,121","-4,335",-732
Total Unusual Items,"-1,725","4,808","-2,121","-4,335",-732
Normalized EBITDA,"910,024","877,449","658,001","658,519","655,156"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,-17.125,90.7156,-16.9615,"-1,734",-292.8
