Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"11,236,508","11,378,259","10,772,278","10,409,865","9,766,210"
Cost of Revenue,"6,717,004","6,840,239","6,423,190","6,085,733","5,616,867"
Gross Profit,"4,519,504","4,538,020","4,349,088","4,324,132","4,149,343"
Operating Expense,"3,384,753","3,322,112","3,173,826","3,043,954","2,873,271"
Operating Income,"1,134,751","1,215,908","1,175,262","1,280,178","1,276,072"
Net Non Operating Interest Income Expense,"-169,371","-166,133","-161,682","-142,766","-116,565"
Other Income Expense,"-12,751","16,562","20,945","-2,403","-3,149"
Pretax Income,"952,629","1,066,337","1,034,525","1,135,009","1,156,358"
Tax Provision,"209,474","238,794","236,642","363,697","409,187"
Net Income Common Stockholders,"726,061","812,826","778,614","751,941","702,095"
Diluted NI Available to Com Stockholders,"726,061","812,826","778,614","751,941","702,095"
Basic EPS,-,0.0092,0.0084,0.0079,0.0072
Diluted EPS,-,0.0091,0.0083,0.0078,0.0071
Basic Average Shares,-,"88,762","93,276","95,652","97,208"
Diluted Average Shares,-,"89,040","93,750","96,325","98,380"
Total Operating Income as Reported,"1,134,751","1,215,908","1,175,262","1,280,178","1,281,411"
Rent Expense Supplemental,"106,482","107,809","106,094","103,127","97,324"
Total Expenses,"10,101,757","10,162,351","9,597,016","9,129,687","8,490,138"
Net Income from Continuing & Discontinued Operation,"727,753","814,854","779,705","752,303","702,409"
Normalized Income,"723,132","812,216","774,519","753,937","707,892"
Interest Income,"1,229",469,"1,531",81,150
Interest Expense,"164,348","161,484","154,070","133,915","108,507"
Net Interest Income,"-169,371","-166,133","-161,682","-142,766","-116,565"
EBIT,"1,116,977","1,227,821","1,188,595","1,268,924","1,264,865"
EBITDA,"1,597,788",-,-,-,-
Reconciled Cost of Revenue,"6,717,005","6,840,239","6,423,159","6,085,615","5,616,867"
Reconciled Depreciation,"480,810","490,392","453,076","447,883","416,608"
Net Income from Continuing Operation Net Minority Interest,"727,753","814,854","779,705","752,303","702,409"
Total Unusual Items Excluding Goodwill,"5,923","3,400","6,726","-2,403","-8,488"
Total Unusual Items,"5,923","3,400","6,726","-2,403","-8,488"
Normalized EBITDA,"1,591,865","1,714,813","1,634,945","1,719,210","1,689,961"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"1,302",761.6,"1,540",-768.96,"-3,005"
