Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"244,422,000","240,269,000","224,871,000","200,136,000","184,012,000"
Cost of Revenue,"186,924,000","184,557,000","172,401,000","154,148,000","141,454,000"
Gross Profit,"57,498,000","55,712,000","52,470,000","45,988,000","42,558,000"
Operating Expense,"39,495,000","37,913,000","36,502,000","31,802,000","30,456,000"
Operating Income,"18,003,000","17,799,000","15,968,000","14,186,000","12,102,000"
Net Non Operating Interest Income Expense,"-1,741,000","-1,704,000","-1,400,000","-1,186,000","-1,067,000"
Other Income Expense,"1,846,000","1,886,000","1,376,000","1,023,000","828,000"
Pretax Income,"18,108,000","17,981,000","15,944,000","14,023,000","11,863,000"
Tax Provision,"3,961,000","3,742,000","3,562,000","3,200,000","4,790,000"
Net Income Common Stockholders,"13,754,000","13,839,000","11,986,000","10,558,000","7,017,000"
Diluted NI Available to Com Stockholders,"13,754,000","13,839,000","11,986,000","10,558,000","7,017,000"
Basic EPS,-,0.0146,0.0125,0.0109,0.0076
Diluted EPS,-,0.0143,0.0122,0.0101,0.0075
Basic Average Shares,-,"948,000","960,000","969,000","952,000"
Diluted Average Shares,-,"966,000","983,000","985,000","968,000"
Total Operating Income as Reported,"19,849,000","19,685,000","17,344,000","15,209,000","12,930,000"
Total Expenses,"226,419,000","222,470,000","208,903,000","185,950,000","171,910,000"
Net Income from Continuing & Discontinued Operation,"13,754,000","13,839,000","11,986,000","10,558,000","7,017,000"
Normalized Income,"12,311,800","12,345,288","10,916,848","9,768,244","6,520,200"
Interest Expense,"1,741,000","1,704,000","1,400,000","1,186,000","1,067,000"
Net Interest Income,"-1,741,000","-1,704,000","-1,400,000","-1,186,000","-1,067,000"
EBIT,"19,849,000","19,685,000","17,344,000","15,209,000","12,930,000"
EBITDA,"22,653,000",-,-,-,-
Reconciled Cost of Revenue,"186,924,000","184,557,000","172,401,000","154,148,000","141,454,000"
Reconciled Depreciation,"2,804,000","2,720,000","2,428,000","2,245,000","2,055,000"
Net Income from Continuing Operation Net Minority Interest,"13,754,000","13,839,000","11,986,000","10,558,000","7,017,000"
Total Unusual Items Excluding Goodwill,"1,846,000","1,886,000","1,376,000","1,023,000","828,000"
Total Unusual Items,"1,846,000","1,886,000","1,376,000","1,023,000","828,000"
Normalized EBITDA,"20,807,000","20,519,000","18,396,000","16,431,000","14,157,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"403,800","392,288","306,848","233,244","331,200"
