Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"21,553,000","21,708,000","22,832,000","21,240,000","19,941,000"
Cost of Revenue,"11,763,000","12,094,000","13,293,000","12,231,000","11,672,000"
Gross Profit,"9,790,000","9,614,000","9,539,000","9,009,000","8,269,000"
Operating Expense,"1,053,000","1,060,000","1,022,000","948,000","997,000"
Operating Income,"8,737,000","8,554,000","8,517,000","8,061,000","7,272,000"
Net Non Operating Interest Income Expense,"-1,021,000","-987,000","-840,000","-703,000","-687,000"
Other Income Expense,"159,000","180,000","64,000","274,000","181,000"
Pretax Income,"7,875,000","7,747,000","7,741,000","7,632,000","6,766,000"
Tax Provision,"1,873,000","1,828,000","1,775,000","-3,080,000","2,533,000"
Net Income Common Stockholders,"6,002,000","5,919,000","5,966,000","10,712,000","4,233,000"
Diluted NI Available to Com Stockholders,"6,002,000","5,919,000","5,966,000","10,712,000","4,233,000"
Basic EPS,-,0.0084,0.008,0.0134,0.0051
Diluted EPS,-,0.0084,0.0079,0.0134,0.0051
Basic Average Shares,-,"703,500","750,900","798,400","832,400"
Diluted Average Shares,-,"706,100","754,300","801,700","835,400"
Total Operating Income as Reported,"8,737,000","8,554,000","8,517,000","8,061,000","7,272,000"
Rent Expense Supplemental,"953,000","984,000","1,072,000","888,000","1,137,000"
Total Expenses,"12,816,000","13,154,000","14,315,000","13,179,000","12,669,000"
Interest Income,"60,000","63,000","30,000","16,000","11,000"
Interest Expense,"1,081,000","1,050,000","870,000","719,000","698,000"
Net Interest Income,"-1,021,000","-987,000","-840,000","-703,000","-687,000"
Net Income from Continuing & Discontinued Operation,"6,002,000","5,919,000","5,966,000","10,712,000","4,233,000"
Normalized Income,"5,982,946","5,905,248","6,008,405","10,645,400","4,174,156"
EBIT,"8,956,000","8,797,000","8,611,000","8,351,000","7,464,000"
EBITDA,"11,170,000",-,-,-,-
Reconciled Cost of Revenue,"11,763,000","12,094,000","13,293,000","12,231,000","11,672,000"
Reconciled Depreciation,"2,214,000","2,216,000","2,191,000","2,105,000","2,038,000"
Net Income from Continuing Operation Net Minority Interest,"6,002,000","5,919,000","5,966,000","10,712,000","4,233,000"
Total Unusual Items Excluding Goodwill,"25,000","18,000","-55,000","111,000","94,000"
Total Unusual Items,"25,000","18,000","-55,000","111,000","94,000"
Normalized EBITDA,"11,145,000","10,995,000","10,857,000","10,345,000","9,408,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"5,946","4,248","-12,595","44,400","35,156"
