Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"9,359,000","9,351,000","8,047,000","6,641,000","5,762,000"
Cost of Revenue,"5,723,000","5,681,000","4,683,000","3,872,000","3,359,000"
Gross Profit,"3,636,000","3,670,000","3,364,000","2,769,000","2,403,000"
Operating Expense,"1,482,000","1,499,000","1,346,000","1,162,000","974,000"
Operating Income,"2,154,000","2,171,000","2,018,000","1,607,000","1,429,000"
Net Non Operating Interest Income Expense,"-633,000","-648,000","-481,000","-464,000","-511,000"
Other Income Expense,"-1,000","-9,000","-61,000","-95,000","-9,000"
Pretax Income,"1,520,000","1,514,000","1,476,000","1,048,000","909,000"
Tax Provision,"348,000","340,000","380,000","-298,000","343,000"
Net Income Common Stockholders,"1,172,000","1,174,000","1,096,000","1,346,000","566,000"
Diluted NI Available to Com Stockholders,"1,172,000","1,174,000","1,096,000","1,346,000","566,000"
Basic EPS,-,0.0152,0.0133,0.0159,0.0065
Diluted EPS,-,0.0151,0.0131,0.0157,0.0065
Basic Average Shares,-,"77,300","82,700","84,600","87,200"
Diluted Average Shares,-,"77,700","83,500","85,600","87,800"
Total Operating Income as Reported,"2,142,000","2,152,000","1,951,000","1,507,000","1,415,000"
Total Expenses,"7,205,000","7,180,000","6,029,000","5,034,000","4,333,000"
Net Income from Continuing & Discontinued Operation,"1,172,000","1,174,000","1,096,000","1,346,000","566,000"
Normalized Income,"1,181,253","1,188,725","1,145,781","1,417,600","574,722"
Interest Expense,"633,000","648,000","481,000","464,000","511,000"
Net Interest Income,"-633,000","-648,000","-481,000","-464,000","-511,000"
EBIT,"2,153,000","2,162,000","1,957,000","1,512,000","1,420,000"
EBITDA,"4,218,000",-,-,-,-
Reconciled Cost of Revenue,"4,061,000","4,050,000","3,320,000","2,748,000","2,369,000"
Reconciled Depreciation,"2,065,000","2,038,000","1,671,000","1,383,000","1,245,000"
Net Income from Continuing Operation Net Minority Interest,"1,172,000","1,174,000","1,096,000","1,346,000","566,000"
Total Unusual Items Excluding Goodwill,"-12,000","-19,000","-67,000","-100,000","-14,000"
Total Unusual Items,"-12,000","-19,000","-67,000","-100,000","-14,000"
Normalized EBITDA,"4,230,000","4,219,000","3,695,000","2,995,000","2,679,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-2,747","-4,275","-17,219","-28,400","-5,278"
