Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"23,081,000","22,883,000","22,521,000","21,852,000","21,105,000"
Credit Losses Provision,"-2,120,000","-1,504,000","-1,379,000","-1,390,000","-1,324,000"
Non Interest Expense,"13,014,000","12,785,000","12,464,000","12,945,000","11,676,000"
Pretax Income,"7,947,000","8,594,000","8,678,000","7,517,000","8,105,000"
Tax Provision,"1,530,000","1,648,000","1,554,000","1,264,000","2,161,000"
Net Income Common Stockholders,"6,058,000","6,583,000","6,784,000","5,913,000","5,589,000"
Diluted NI Available to Com Stockholders,"6,058,000","6,583,000","6,784,000","5,913,000","5,589,000"
Basic EPS,-,0.0042,0.0042,0.0035,0.0033
Diluted EPS,-,0.0042,0.0041,0.0035,0.0032
Basic Average Shares,-,"1,581,000","1,634,000","1,677,000","1,718,000"
Diluted Average Shares,-,"1,583,000","1,638,000","1,683,000","1,724,000"
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,"10,896,000","11,548,000","11,540,000","10,851,000","10,204,000"
Net Income from Continuing & Discontinued Operation,"6,386,000","6,914,000","7,096,000","6,218,000","5,888,000"
Normalized Income,"6,386,000","6,914,000","7,096,000","6,218,000","5,888,000"
Reconciled Depreciation,"511,000","502,000","467,000","468,000","470,000"
Net Income from Continuing Operation Net Minority Interest,"6,386,000","6,914,000","7,096,000","6,218,000","5,888,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
